subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp,restudyresp,restudyacc,restudyrtfirst,restudyrt
10,fan,feature,90,1.081614607,1,4,1,23,0.575, ,0,2.75224553,11.66202599
10,copy,bedroom,38,1.214977512,2,4,1,11,0.275,bedroom,1,3.558942814,8.383382389
10,banner,glide,82,4.015991091,3,4,1,15,0.375, ,0,2.259630561,3.879229061
10,bias,sirloin,9,0.998477482,4,4,0,4,0.1,,,,
10,bacon,feud,19,1.01508887,5,4,1,7,0.175,feud,1,8.587793041,9.931784964
10,bullet,walkway,93,1.815379197,6,4,1,29,0.725,walkway,1,20.45878472,24.79476057
10,knock,otter,40,0.881765095,7,4,0,12,0.3,,,,
10,anger,decay,98,1.698644038,8,4,1,39,0.975,decay,1,3.286006656,5.158009289
10,forest,knob,22,0.998294023,9,4,0,8,0.2,,,,
10,date,laugh,97,1.54864569,10,4,1,37,0.925,laugh,1,2.633693099,4.081697035
10,visit,glove,13,3.599184184,11,4,0,6,0.15,,,,
10,link,crisis,89,1.365211919,12,4,1,21,0.525,crisis,1,3.344802735,5.320776327
10,find,clown,95,1.631984235,13,4,0,34,0.85,,,,
10,replace,roach,97,2.198640671,14,4,0,36,0.9,,,,
10,biology,temper,93,1.315119564,15,4,0,28,0.7,,,,
10,want,ascent,49,0.831734962,16,4,0,14,0.35,,,,
10,collect,loyalty,92,1.84873123,17,4,1,25,0.625,  ,0,9.597930119,18.1977625
10,smother,surgery,94,1.531758472,18,4,1,31,0.775,surgery,1,1.441390428,16.17481215
10,chicken,beet,5,2.598864414,19,4,0,2,0.05,,,,
10,shrink,mafia,82,1.498454549,20,4,0,16,0.4,,,,
10,calf,annoy,94,1.398587686,21,4,0,30,0.75,,,,
10,port,cinema,85,2.748986565,22,4,0,18,0.45,,,,
10,pork,emperor,41,0.881794923,23,4,1,13,0.325, emporer,0,7.633384234,15.65714732
10,grip,beach,95,3.732808807,24,4,1,35,0.875,beach,1,2.726501278,4.334438578
10,caring,skirt,10,1.04845726,25,4,1,5,0.125, ,0,3.951711125,9.255623968
