subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp
10,fee,chowder,54,9.418117421,1,1,1,3,0.075
10,bias,sirloin,49,3.148013013,2,1,0,4,0.1
10,rock,milk,87,1.581708101,3,1,0,38,0.95
10,knock,otter,7,1.765361252,4,1,0,12,0.3
10,bacon,feud,47,0.948751083,5,1,1,7,0.175
10,forest,knob,52,2.398879873,6,1,0,8,0.2
10,glue,force,82,0.965101074,7,1,1,27,0.675
10,smother,surgery,60,1.281844187,8,1,1,31,0.775
10,climax,saucer,40,0.731672451,9,1,0,22,0.55
10,bleach,ruin,97,1.481990057,10,1,0,40,1
10,anger,decay,95,2.165549074,11,1,1,39,0.975
10,grip,beach,46,1.265091356,12,1,1,35,0.875
10,risk,zero,97,1.531918838,13,1,0,24,0.6
10,replace,roach,85,4.382816296,14,1,0,36,0.9
10,want,ascent,6,1.498582843,15,1,0,14,0.35
10,banner,glide,3,1.331706577,16,1,1,15,0.375
10,remind,foam,13,1.365239502,17,1,1,1,0.025
10,plant,worm,95,1.648549117,18,1,0,32,0.8
10,shrink,mafia,83,4.015981469,19,1,0,16,0.4
10,link,crisis,82,5.88315483,20,1,1,21,0.525
10,mill,feast,87,3.215782872,21,1,1,33,0.825
10,process,joker,89,1.815345841,22,1,1,17,0.425
10,prison,loaf,50,0.798434889,23,1,0,10,0.25
10,port,cinema,45,1.098227278,24,1,0,18,0.45
10,fan,feature,92,4.48284064,25,1,1,23,0.575
10,visit,glove,4,1.648626414,26,1,0,6,0.15
10,need,faucet,87,1.448629044,27,1,0,20,0.5
10,copy,bedroom,12,2.949146226,28,1,1,11,0.275
10,pea,bathtub,1,2.448835596,29,1,0,26,0.65
10,capital,figure,59,1.548623239,30,1,1,19,0.475
10,calf,annoy,77,3.099038411,31,1,0,30,0.75
10,find,clown,11,1.915364732,32,1,0,34,0.85
10,collect,loyalty,62,7.667100618,33,1,1,25,0.625
10,chicken,beet,15,1.315202313,34,1,0,2,0.05
