subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp,restudyresp,restudyacc,restudyrtfirst,restudyrt,response,testacc,rtfirst,rt
10,anger,decay,98,1.698644038,1,5,1,39,0.975,decay,1,3.286006656,5.158009289, ,0,13.59924031,15.09949257
10,forest,knob,22,0.998294023,2,5,0,8,0.2,,,,, ,0,1.448801919,2.913118641
10,remind,foam,2,1.432034655,3,5,1,1,0.025,     ,0,3.349375742,7.98406183, ,0,1.303188949,2.284994745
10,copy,bedroom,38,1.214977512,4,5,1,11,0.275,bedroom,1,3.558942814,8.383382389, ,0,2.692298021,6.044251171
10,banner,glide,82,4.015991091,5,5,1,15,0.375, ,0,2.259630561,3.879229061, ,0,2.055285017,4.399312541
10,risk,zero,92,1.81536701,6,5,0,24,0.6,,,,, ,0,8.19337873,13.11303647
10,chicken,beet,5,2.598864414,7,5,0,2,0.05,,,,, ,0,4.442343966,7.983819356
10,want,ascent,49,0.831734962,8,5,0,14,0.35,,,,,   ,0,2.202498444,23.85800746
10,smother,surgery,94,1.531758472,9,5,1,31,0.775,surgery,1,1.441390428,16.17481215,surgery ,0,3.291109514,20.50671342
10,calf,annoy,94,1.398587686,10,5,0,30,0.75,,,,,   ,0,10.66615991,13.78614537
10,glue,force,93,1.248538662,11,5,1,27,0.675,pressure,0,16.48293878,19.77855395,pressure,0,5.558331818,19.50206696
10,pea,bathtub,92,2.148823825,12,5,0,26,0.65,,,,, ,0,14.93412278,18.04639719
10,caring,skirt,10,1.04845726,13,5,1,5,0.125, ,0,3.951711125,9.255623968, ,0,3.75267884,8.804216737
10,rock,milk,97,1.96544939,14,5,0,38,0.95,,,,,house,0,8.070979431,16.87087846
10,shrink,mafia,82,1.498454549,15,5,0,16,0.4,,,,,  ,0,6.936973136,14.63281173
10,fee,chowder,7,1.631976538,16,5,1,3,0.075,  ,0,4.784443566,9.376339741, ,0,3.639059599,5.087064176
10,prison,loaf,37,4.049401497,17,5,0,10,0.25,,,,, ,0,6.209950668,8.745920039
10,collect,loyalty,92,1.84873123,18,5,1,25,0.625,  ,0,9.597930119,18.1977625,  ,0,10.35694535,12.07239579
10,bacon,feud,19,1.01508887,19,5,1,7,0.175,feud,1,8.587793041,9.931784964,emporer,0,11.7741349,14.13372501
10,plant,worm,94,1.248455592,20,5,0,32,0.8,,,,,seed,0,7.826947385,9.270473892
10,biology,temper,93,1.315119564,21,5,0,28,0.7,,,,, ,0,2.634891998,6.770841933
10,mill,feast,95,1.831889555,22,5,1,33,0.825,feast,1,5.184527469,10.92839995,feast,1,5.581422328,7.909372162
10,need,faucet,89,0.931729477,23,5,0,20,0.5,,,,, ,0,3.235847268,6.030162025
10,bias,sirloin,9,0.998477482,24,5,0,4,0.1,,,,, ,0,4.916122303,8.731853665
10,link,crisis,89,1.365211919,25,5,1,21,0.525,crisis,1,3.344802735,5.320776327, ,0,3.967245814,5.799261737
10,pork,emperor,41,0.881794923,26,5,1,13,0.325, emporer,0,7.633384234,15.65714732, ,0,6.191325078,9.055300092
10,climax,saucer,89,2.265418183,27,5,0,22,0.55,,,,, ,0,5.259973103,7.628005867
10,port,cinema,85,2.748986565,28,5,0,18,0.45,,,,,cinema,1,3.279269024,5.847257783
10,bleach,ruin,100,1.031728483,29,5,0,40,1,,,,,damage,0,5.223423045,14.38325281
10,fan,feature,90,1.081614607,30,5,1,23,0.575, ,0,2.75224553,11.66202599, ,0,26.84333041,32.07980375
10,knock,otter,40,0.881765095,31,5,0,12,0.3,,,,, ,0,8.039309321,20.04716022
10,capital,figure,86,1.732042577,32,5,1,19,0.475,attraction,0,22.18616898,27.75450702, ,0,12.00299276,12.97897822
10,replace,roach,97,2.198640671,33,5,0,36,0.9,,,,, ,0,0.927365267,1.535374733
10,visit,glove,13,3.599184184,34,5,0,6,0.15,,,,, ,0,0.61312868,0.877160977
10,date,laugh,97,1.54864569,35,5,1,37,0.925,laugh,1,2.633693099,4.081697035,laugh,1,2.043319442,3.923331091
10,grip,beach,95,3.732808807,36,5,1,35,0.875,beach,1,2.726501278,4.334438578,beach,1,4.36447263,6.364457877
10,bullet,walkway,93,1.815379197,37,5,1,29,0.725,walkway,1,20.45878472,24.79476057,walkway,1,2.32605655,7.277523276
10,process,joker,85,1.465090009,38,5,1,17,0.425,joker,1,5.3680488,6.984041623, ,0,2.379387343,3.363411005
10,find,clown,95,1.631984235,39,5,0,34,0.85,,,,, ,0,1.007047139,1.149707444
