word1,word2,jol,jolrt,jolrtfirst,trial,list,
banner,glide,51,7.345,3.312,1,1,
collect,loyalty,18,3.052,0.96,2,1,
mill,feast,35,3.166,0.749,3,1,
bullet,walkway,56,4.005,2.293,4,1,
copy,bedroom,75,3.405,0.853,5,1,
rock,milk,100,3.993,0.728,6,1,
process,joker,24,2.977,0.726,7,1,
want,ascent,50,2.613,0.684,8,1,
link,crisis,65,2.974,1.04,9,1,
plant,worm,100,1.476,0.442,10,1,
nerve,bumper,30,1.929,0.438,11,1,
fee,chowder,36,1.93,0.791,12,1,
need,faucet,52,2.043,0.604,13,1,
bias,sirloin,41,3.585,1.687,14,1,
bacon,feud,80,2.397,0.58,15,1,
grip,beach,35,3.35,0.726,16,1,
forest,knob,65,2.49,0.512,17,1,
pork,emperor,80,2.36,0.541,18,1,
remind,foam,45,2.437,1.152,19,1,
anger,decay,79,2.005,0.517,20,1,
glue,force,70,3.339,1.383,21,1,
capital,figure,30,2.915,0.571,22,1,
bleach,ruin,82,2.02,0.498,23,1,
pea,bathtub,89,1.899,0.445,24,1,
chicken,beet,35,3.366,0.409,25,1,
shrink,mafia,20,2.957,0.704,26,1,
port,cinema,7,1.939,0.574,27,1,
prison,loaf,89,1.933,0.39,28,1,
knock,otter,70,3.594,1.042,29,1,
climax,saucer,65,4.296,1.835,30,1,
find,clown,70,3.485,0.958,31,1,
biology,temper,1,2.578,0.438,32,1,
smother,surgery,65,3.489,0.392,33,1,
visit,glove,25,5.014,1.74,34,1,
risk,zero,100,2.075,1.089,35,1,
replace,roach,19,3.688,0.521,36,1,
caring,skirt,15,3.45,0.656,37,1,
fan,feature,85,3.267,0.569,38,1,
date,laugh,93,1.955,0.518,39,1,
calf,annoy,17,9.679,8.3,40,1,
remind,foam,25,7.768,2.084,1,2,
nerve,bumper,60,2.398,0.861,2,2,
fan,feature,100,2.172,0.569,3,2,
shrink,mafia,25,7.631,4.684,4,2,
banner,glide,80,4.095,0.736,5,2,
port,cinema,15,7.256,3.954,6,2,
bias,sirloin,50,12.813,4.5,7,2,
find,clown,100,4.455,3.474,8,2,
risk,zero,100,1.15,0.525,9,2,
link,crisis,25,6.183,4.495,10,2,
fee,chowder,55,2.37,0.522,11,2,
want,ascent,75,2.809,0.455,12,2,
date,laugh,100,1.084,0.435,13,2,
collect,loyalty,35,2.927,0.547,14,2,
grip,beach,12,2.219,1.012,15,2,
bullet,walkway,13,1.597,0.442,16,2,
chicken,beet,25,3.126,0.466,17,2,
biology,temper,65,2.757,0.604,18,2,
smother,surgery,75,2.588,0.494,19,2,
anger,decay,30,4.346,1.12,20,2,
calf,annoy,30,11.738,7.775,21,2,
need,faucet,40,2.256,0.673,22,2,
climax,saucer,55,4.888,2.941,23,2,
copy,bedroom,23,8.131,1.992,24,2,
forest,knob,32,7.175,2.555,25,2,
rock,milk,100,1.131,0.468,26,2,
prison,loaf,85,2.664,0.317,27,2,
pork,emperor,85,3.238,0.629,28,2,
visit,glove,25,2.268,0.975,29,2,
bleach,ruin,80,1.711,0.346,30,2,
capital,figure,20,2.186,0.65,31,2,
plant,worm,100,1.168,0.497,32,2,
pea,bathtub,23,1.383,0.372,33,2,
bacon,feud,19,1.531,0.365,34,2,
mill,feast,28,2.448,0.435,35,2,
caring,skirt,1,1.133,0.464,36,2,
replace,roach,30,1.983,0.477,37,2,
process,joker,55,1.943,0.465,38,2,
glue,force,75,1.766,0.334,39,2,
knock,otter,80,2.164,0.405,40,2,
bacon,feud,75,3.341,1.5,1,3,
bullet,walkway,45,4.954,1.028,2,3,
grip,beach,45,2.725,0.923,3,3,
pea,bathtub,75,2.115,0.491,4,3,
glue,force,80,2.366,0.413,5,3,
banner,glide,80,4.556,0.466,6,3,
calf,annoy,60,4.387,1.679,7,3,
forest,knob,61,3.968,0.816,8,3,
port,cinema,75,2.686,0.374,9,3,
nerve,bumper,30,4.289,2.2,10,3,
replace,roach,27,24.303,23.015,11,3,
smother,surgery,65,4.833,1.561,12,3,
chicken,beet,100,0.999,0.391,13,3,
remind,foam,55,4.005,1.071,14,3,
process,joker,45,1.742,0.383,15,3,
mill,feast,70,4.21,2.205,16,3,
knock,otter,85,2.374,0.705,17,3,
bleach,ruin,100,11.949,11.012,18,3,
link,crisis,55,1.836,0.515,19,3,
rock,milk,100,1.193,0.373,20,3,
shrink,mafia,40,2.61,0.48,21,3,
want,ascent,45,1.725,0.419,22,3,
need,faucet,30,1.652,0.443,23,3,
find,clown,80,2.814,0.415,24,3,
date,laugh,100,1.116,0.44,25,3,
copy,bedroom,40,2.333,0.451,26,3,
collect,loyalty,55,4.193,0.548,27,3,
anger,decay,72,1.448,0.343,28,3,
fan,feature,75,3.05,1.054,29,3,
visit,glove,38,1.458,0.385,30,3,
caring,skirt,25,1.827,0.317,31,3,
plant,worm,100,1.221,0.598,32,3,
pork,emperor,100,1.026,0.428,33,3,
prison,loaf,100,1.047,0.442,34,3,
climax,saucer,45,2.844,0.303,35,3,
bias,sirloin,55,2.175,0.542,36,3,
biology,temper,65,2.84,0.467,37,3,
fee,chowder,50,3.059,1.402,38,3,
capital,figure,55,3.357,0.38,39,3,
risk,zero,100,1.189,0.435,40,3,

