"subn","word1","word2","jol","jolrt","trial","list","practice","jolrank","jolrankp","restudyresp","restudyacc","restudyrtfirst","restudyrt"
"1095","climax","saucer",19,4.136,1,1,0,14,0.35,"",NA,NA,NA
"1095","shrink","mafia",5,27.36,2,1,0,8,0.2,"",NA,NA,NA
"1095","link","crisis",81,31.785,3,1,0,26,0.65,"",NA,NA,NA
"1095","bullet","walkway",44,4.321,4,1,1,19,0.475,"walkway",1,NA,12.972
"1095","visit","glove",20,6.968,5,1,1,15,0.375,"oven",0,NA,18.415
"1095","remind","foam",15,19.136,6,1,0,12,0.3,"",NA,NA,NA
"1095","fan","feature",18,18.034,7,1,1,13,0.325,"feature",1,NA,10.787
"1095","chicken","beet",65,6.595,8,1,1,23,0.575,"gang",0,NA,44.82
"1095","mill","feast",100,2.484,9,1,1,39,0.975,"feast",1,NA,7.151
"1095","grip","beach",100,2.372,10,1,0,40,1,"",NA,NA,NA
"1095","knock","otter",82,2.598,11,1,0,28,0.7,"",NA,NA,NA
"1095","smother","surgery",1,4.443,12,1,1,3,0.075,"pillow",0,NA,19.33
"1095","prison","loaf",69,3.337,13,1,0,24,0.6,"",NA,NA,NA
"1095","process","joker",13,2.959,14,1,1,11,0.275,"biology",0,NA,12.513
"1095","date","laugh",56,15.615,15,1,1,21,0.525,"laugh",1,NA,4.228
"1095","plant","worm",100,2.826,16,1,1,35,0.875,"worm",1,NA,4.061
"1095","fee","chowder",29,11.817,17,1,0,16,0.4,"",NA,NA,NA
"1095","biology","temper",1,3.665,18,1,0,2,0.05,"",NA,NA,NA
"1095","bias","sirloin",100,9.944,19,1,1,37,0.925,"sirloin",1,NA,11.974
"1095","caring","skirt",85,4.021,20,1,1,31,0.775,"skirt",1,NA,4.697
"1095","port","cinema",5,23.127,21,1,1,9,0.225,"stone",0,NA,18.646
"1095","glue","force",7,2.82,22,1,0,10,0.25,"",NA,NA,NA
"1095","forest","knob",1,3.149,23,1,1,5,0.125,"fluster",0,NA,37.267
"1095","collect","loyalty",100,4.288,24,1,0,36,0.9,"",NA,NA,NA
"1095","replace","roach",4,4.843,25,1,0,6,0.15,"",NA,NA,NA
"1095","bleach","ruin",71,12.971,26,1,1,25,0.625,"ruin",1,NA,11.531
"1095","find","clown",60,14.692,27,1,0,22,0.55,"",NA,NA,NA
"1095","pea","bathtub",91,3.898,28,1,1,33,0.825,"bathtub",1,NA,8.314
"1095","banner","glide",39,18.381,29,1,0,18,0.45,"",NA,NA,NA
"1095","risk","zero",1,19.869,30,1,1,1,0.025,"zero",1,NA,8.4
"1095","want","ascent",84,3.601,31,1,0,30,0.75,"",NA,NA,NA
"1095","capital","figure",4,16.526,32,1,1,7,0.175,"figure",1,NA,9.843
"1095","anger","decay",38,14.504,33,1,1,17,0.425,"decay",1,NA,7.355
"1095","rock","milk",82,8.517,34,1,1,29,0.725,"milk",1,NA,12.534
"1095","need","faucet",85,6.842,35,1,0,32,0.8,"",NA,NA,NA
"1095","bacon","feud",100,2.649,36,1,0,38,0.95,"",NA,NA,NA
"1095","nerve","bumper",1,38.89,37,1,0,4,0.1,"",NA,NA,NA
"1095","pork","emperor",100,5.134,38,1,0,34,0.85,"",NA,NA,NA
"1095","calf","annoy",44,13.752,39,1,0,20,0.5,"",NA,NA,NA
"1095","copy","bedroom",81,7.566,40,1,1,27,0.675,"bedroom",1,NA,11.226
"1095","caring","skirt",85,4.021,1,2,1,31,0.775,"skirt",1,NA,3.536
"1095","copy","bedroom",81,7.566,2,2,1,27,0.675,"bedroom",1,NA,3.845
"1095","date","laugh",56,15.615,3,2,1,21,0.525,"laugh",1,NA,3.493
"1095","pea","bathtub",91,3.898,4,2,1,33,0.825,"bathtub",1,NA,3.534
"1095","banner","glide",39,18.381,5,2,0,18,0.45,"",NA,NA,NA
"1095","bacon","feud",100,2.649,6,2,0,38,0.95,"",NA,NA,NA
"1095","shrink","mafia",5,27.36,7,2,0,8,0.2,"",NA,NA,NA
"1095","knock","otter",82,2.598,8,2,0,28,0.7,"",NA,NA,NA
"1095","mill","feast",100,2.484,9,2,1,39,0.975,"feast",1,NA,5.108
"1095","biology","temper",1,3.665,10,2,0,2,0.05,"",NA,NA,NA
"1095","bullet","walkway",44,4.321,11,2,1,19,0.475,"walkway",1,NA,5.615
"1095","glue","force",7,2.82,12,2,0,10,0.25,"",NA,NA,NA
"1095","risk","zero",1,19.869,13,2,1,1,0.025,"zero",1,NA,3.97
"1095","replace","roach",4,4.843,14,2,0,6,0.15,"",NA,NA,NA
"1095","collect","loyalty",100,4.288,15,2,0,36,0.9,"",NA,NA,NA
"1095","calf","annoy",44,13.752,16,2,0,20,0.5,"",NA,NA,NA
"1095","link","crisis",81,31.785,17,2,0,26,0.65,"",NA,NA,NA
"1095","forest","knob",1,3.149,18,2,1,5,0.125,"shovel",0,NA,17.652
"1095","remind","foam",15,19.136,19,2,0,12,0.3,"",NA,NA,NA
"1095","chicken","beet",65,6.595,20,2,1,23,0.575,"beet",1,NA,13.016
"1095","fan","feature",18,18.034,21,2,1,13,0.325,"figure",0,NA,12.857
