"subn","word1","word2","jol","jolrt","trial","list","practice","jolrank","jolrankp","restudyresp","restudyacc","restudyrtfirst","restudyrt","response","testacc","rtfirst","rt"
"1095","pea","bathtub",91,3.898,28,1,1,33,0.825,NA,NA,NA,NA,"bathtub",1,2.196,5.434
"1095","process","joker",13,2.959,14,1,1,11,0.275,NA,NA,NA,NA,"skip",0,4.451,6.646
"1095","smother","surgery",1,4.443,12,1,1,3,0.075,NA,NA,NA,NA,"pillow",0,11.116,13.35
"1095","forest","knob",1,3.149,23,1,1,5,0.125,NA,NA,NA,NA,"shovel",0,1.965,4.301
"1095","port","cinema",5,23.127,21,1,1,9,0.225,NA,NA,NA,NA,"beach",0,18.171,20.565
"1095","bias","sirloin",100,9.944,19,1,1,37,0.925,NA,NA,NA,NA,"sirloin",1,1.896,4.264
"1095","banner","glide",39,18.381,29,1,0,18,0.45,NA,NA,NA,NA,"glide",1,5.643,7.56
"1095","visit","glove",20,6.968,5,1,1,15,0.375,NA,NA,NA,NA,"love",0,12.698,14.403
"1095","copy","bedroom",81,7.566,40,1,1,27,0.675,NA,NA,NA,NA,"bedroom",1,1.918,4.451
"1095","prison","loaf",69,3.337,13,1,0,24,0.6,NA,NA,NA,NA,"loaf",1,1.499,3.274
"1095","biology","temper",1,3.665,18,1,0,2,0.05,NA,NA,NA,NA,"temper",1,2.704,4.626
"1095","risk","zero",1,19.869,30,1,1,1,0.025,NA,NA,NA,NA,"zero",1,1.628,3.498
"1095","calf","annoy",44,13.752,39,1,0,20,0.5,NA,NA,NA,NA,"annoy",1,8.435,11.022
"1095","remind","foam",15,19.136,6,1,0,12,0.3,NA,NA,NA,NA,"foam",1,8.572,10.639
"1095","plant","worm",100,2.826,16,1,1,35,0.875,NA,NA,NA,NA,"worm",1,1.481,3.362
"1095","replace","roach",4,4.843,25,1,0,6,0.15,NA,NA,NA,NA,"roach",1,9.218,11.318
"1095","link","crisis",81,31.785,3,1,0,26,0.65,NA,NA,NA,NA,"crisis",1,3.067,6.446
"1095","knock","otter",82,2.598,11,1,0,28,0.7,NA,NA,NA,NA,"otter",1,8.76,10.32
"1095","need","faucet",85,6.842,35,1,0,32,0.8,NA,NA,NA,NA,"faucet",1,6.976,9.242
"1095","anger","decay",38,14.504,33,1,1,17,0.425,NA,NA,NA,NA,"decay",1,6.036,8.575
"1095","glue","force",7,2.82,22,1,0,10,0.25,NA,NA,NA,NA,"skip",0,4.422,6.402
"1095","mill","feast",100,2.484,9,1,1,39,0.975,NA,NA,NA,NA,"feast",1,1.617,3.585
"1095","want","ascent",84,3.601,31,1,0,30,0.75,NA,NA,NA,NA,"ascent",1,4.102,6.993
"1095","fan","feature",18,18.034,7,1,1,13,0.325,NA,NA,NA,NA,"figure",0,1.517,8.042
"1095","bullet","walkway",44,4.321,4,1,1,19,0.475,NA,NA,NA,NA,"walkway",1,1.723,3.9
"1095","bleach","ruin",71,12.971,26,1,1,25,0.625,NA,NA,NA,NA,"ruin",1,2.402,4.21
"1095","chicken","beet",65,6.595,8,1,1,23,0.575,NA,NA,NA,NA,"beet",1,1.474,4.578
"1095","grip","beach",100,2.372,10,1,0,40,1,NA,NA,NA,NA,"beach",1,10.579,12.457
"1095","bacon","feud",100,2.649,36,1,0,38,0.95,NA,NA,NA,NA,"feud",1,3.032,4.997
"1095","nerve","bumper",1,38.89,37,1,0,4,0.1,NA,NA,NA,NA,"bumper",1,8.143,10.229
"1095","collect","loyalty",100,4.288,24,1,0,36,0.9,NA,NA,NA,NA,"loyalty",1,1.443,3.805
"1095","date","laugh",56,15.615,15,1,1,21,0.525,NA,NA,NA,NA,"laugh",1,1.866,3.546
"1095","find","clown",60,14.692,27,1,0,22,0.55,NA,NA,NA,NA,"clown",1,2.609,4.531
"1095","rock","milk",82,8.517,34,1,1,29,0.725,NA,NA,NA,NA,"milk",1,1.748,3.402
"1095","caring","skirt",85,4.021,20,1,1,31,0.775,NA,NA,NA,NA,"skirt",1,1.274,3.063
"1095","shrink","mafia",5,27.36,2,1,0,8,0.2,NA,NA,NA,NA,"skip",0,5.087,7.855
"1095","capital","figure",4,16.526,32,1,1,7,0.175,NA,NA,NA,NA,"figure",1,1.486,4.027
"1095","fee","chowder",29,11.817,17,1,0,16,0.4,NA,NA,NA,NA,"chowder",1,13.994,17.188
"1095","pork","emperor",100,5.134,38,1,0,34,0.85,NA,NA,NA,NA,"emperor",1,1.394,3.904
"1095","climax","saucer",19,4.136,1,1,0,14,0.35,NA,NA,NA,NA,"alien",0,13.263,15.397
"1099","pork","emperor",55,1.4,12,1,1,21,0.525,NA,NA,NA,NA,"hind",0,2.95,3.71
"1099","visit","glove",30,1.611,40,1,0,12,0.3,NA,NA,NA,NA,"clear",0,1.848,2.72
"1099","anger","decay",30,1.417,31,1,1,13,0.325,NA,NA,NA,NA,"monster",0,2.912,3.728
"1099","pea","bathtub",21,1.651,7,1,0,4,0.1,NA,NA,NA,NA,"calm",0,3.201,4.16
"1099","want","ascent",67,3.521,34,1,0,32,0.8,NA,NA,NA,NA,"nature",0,2.096,3.463
"1099","mill","feast",28,1.247,20,1,1,11,0.275,NA,NA,NA,NA,"rock",0,1.416,3.208
"1099","bacon","feud",40,1.803,4,1,0,18,0.45,NA,NA,NA,NA,"under",0,4.956,5.911
"1099","grip","beach",18,1.716,18,1,0,2,0.05,NA,NA,NA,NA,"stack",0,1.587,2.463
"1099","find","clown",27,1.82,30,1,1,7,0.175,NA,NA,NA,NA,"seek",0,1.56,2.24
"1099","caring","skirt",28,1.588,15,1,1,9,0.225,NA,NA,NA,NA,"love",0,1.343,1.966
"1099","collect","loyalty",67,2.831,24,1,1,33,0.825,NA,NA,NA,NA,"money",0,1.193,1.88
"1099","glue","force",65,1.955,5,1,0,30,0.75,NA,NA,NA,NA,"hard",0,3.035,3.64
"1099","climax","saucer",40,1.459,22,1,1,19,0.475,NA,NA,NA,NA,"zero",0,1.049,1.76
"1099","need","faucet",56,2.413,38,1,0,22,0.55,NA,NA,NA,NA,"now",0,1.305,2.776
"1099","forest","knob",43,1.74,29,1,0,20,0.5,NA,NA,NA,NA,"jungle",0,2.17,3.016
"1099","banner","glide",28,2.931,8,1,0,8,0.2,NA,NA,NA,NA,"time",0,1.408,1.992
"1099","fee","chowder",23,1.499,19,1,0,6,0.15,NA,NA,NA,NA,"bank",0,2.249,2.8
"1099","nerve","bumper",28,1.452,3,1,0,10,0.25,NA,NA,NA,NA,"steel",0,1.151,1.999
"1099","bias","sirloin",22,1.587,6,1,1,5,0.125,NA,NA,NA,NA,"information",0,0.984,2.584
"1099","date","laugh",36,1.555,37,1,0,16,0.4,NA,NA,NA,NA,"number",0,2.216,3.207
"1099","rock","milk",32,4.481,35,1,0,14,0.35,NA,NA,NA,NA,"milk",1,0.983,1.655
"1099","capital","figure",72,3.497,39,1,1,37,0.925,NA,NA,NA,NA,"gain",0,0.943,1.487
"1099","calf","annoy",68,1.676,1,1,0,36,0.9,NA,NA,NA,NA,"kill",0,3.6,4.352
"1099","port","cinema",18,1.643,26,1,1,1,0.025,NA,NA,NA,NA,"sight",0,2.153,4.039
"1099","remind","foam",67,2.318,27,1,0,34,0.85,NA,NA,NA,NA,"time",0,3.455,4.015
"1099","knock","otter",81,2.413,2,1,1,39,0.975,NA,NA,NA,NA,"wood",0,1.488,2.216
"1099","plant","worm",57,1.477,10,1,0,24,0.6,NA,NA,NA,NA,"feature",0,2.096,2.959
"1099","link","crisis",73,1.803,32,1,0,38,0.95,NA,NA,NA,NA,"desk",0,3.448,4.248
"1099","biology","temper",66,1.771,16,1,1,31,0.775,NA,NA,NA,NA,"understand",0,2.897,4.278
"1099","risk","zero",59,1.885,23,1,0,26,0.65,NA,NA,NA,NA,"reward",0,1.396,2.439
"1099","fan","feature",67,2.03,21,1,1,35,0.875,NA,NA,NA,NA,"fanatic",0,0.89,4.408
"1099","replace","roach",57,1.795,36,1,1,25,0.625,NA,NA,NA,NA,"reuse",0,1.311,2.551
"1099","process","joker",61,2.44,17,1,1,27,0.675,NA,NA,NA,NA,"understand",0,1.711,3.079
"1099","copy","bedroom",62,1.794,13,1,0,28,0.7,NA,NA,NA,NA,"machine",0,1.504,2.32
"1099","prison","loaf",37,2.277,14,1,1,17,0.425,NA,NA,NA,NA,"reform",0,1.201,2.015
"1099","bleach","ruin",19,2.206,11,1,1,3,0.075,NA,NA,NA,NA,"clothes",0,2.376,3.312
"1099","smother","surgery",57,2.083,25,1,1,23,0.575,NA,NA,NA,NA,"destroy",0,3.769,4.959
"1099","bullet","walkway",34,1.265,9,1,1,15,0.375,NA,NA,NA,NA,"hit",0,1.265,3.232
"1099","shrink","mafia",65,1.699,28,1,1,29,0.725,NA,NA,NA,NA,"size",0,1.672,2.663
"1099","chicken","beet",93,2.252,33,1,0,40,1,NA,NA,NA,NA,"beet",1,1.416,2.375
"1297","nerve","bumper",1,1.58,10,1,1,17,0.425,NA,NA,NA,NA,"fiber",0,2.245,6.159
"1297","remind","foam",1,1.949,40,1,1,11,0.275,NA,NA,NA,NA,"restore",0,4.053,5.128
"1297","biology","temper",1,1.508,17,1,0,12,0.3,NA,NA,NA,NA,"test",0,1.457,2.75
"1297","rock","milk",1,5.178,16,1,1,1,0.025,NA,NA,NA,NA,"salt",0,1.059,1.754
"1297","copy","bedroom",1,2.087,12,1,1,3,0.075,NA,NA,NA,NA,"edit",0,2.535,3.941
"1297","caring","skirt",1,1.902,22,1,0,18,0.45,NA,NA,NA,NA,"time",0,3.813,4.502
"1297","visit","glove",1,2.61,39,1,0,24,0.6,NA,NA,NA,NA,"empire",0,1.327,2.918
"1297","banner","glide",1,1.478,24,1,1,29,0.725,NA,NA,NA,NA,"paste",0,5.595,6.407
"1297","pea","bathtub",1,1.585,38,1,0,28,0.7,NA,NA,NA,NA,"gun",0,2.227,2.699
"1297","link","crisis",2,3.855,5,1,1,35,0.875,NA,NA,NA,NA,"past",0,1.301,1.903
"1297","smother","surgery",1,3.787,1,1,1,31,0.775,NA,NA,NA,NA,"flame",0,1.146,2.752
"1297","bleach","ruin",15,2.809,18,1,0,38,0.95,NA,NA,NA,NA,"ruin",1,2.459,3.075
"1297","bias","sirloin",1,1.963,30,1,0,8,0.2,NA,NA,NA,NA,"tape",0,4.22,5.106
"1297","port","cinema",1,1.534,3,1,0,30,0.75,NA,NA,NA,NA,"whitney",0,2.426,9.933
"1297","bullet","walkway",1,2.187,35,1,1,9,0.225,NA,NA,NA,NA,"test",0,2.649,3.828
"1297","knock","otter",1,1.922,9,1,0,10,0.25,NA,NA,NA,NA,"life",0,1.329,1.882
"1297","climax","saucer",1,1.994,28,1,0,4,0.1,NA,NA,NA,NA,"settle",0,1.726,2.642
"1297","plant","worm",1,1.463,19,1,1,25,0.625,NA,NA,NA,NA,"star",0,2.94,3.607
"1297","fee","chowder",1,13.282,8,1,1,13,0.325,NA,NA,NA,NA,"golf",0,1.971,6.456
"1297","capital","figure",1,1.835,36,1,0,20,0.5,NA,NA,NA,NA,"display",0,2.01,3.041
"1297","replace","roach",9,3.376,2,1,1,37,0.925,NA,NA,NA,NA,"reuse",0,1.558,3.491
"1297","glue","force",3,2.617,7,1,0,36,0.9,NA,NA,NA,NA,"banana",0,2.6,4.43
"1297","grip","beach",1,2.014,13,1,0,34,0.85,NA,NA,NA,NA,"paste",0,2.393,3.393
"1297","pork","emperor",61,2.485,14,1,0,40,1,NA,NA,NA,NA,"emperor",1,1.17,6.022
"1297","bacon","feud",50,4.149,27,1,1,39,0.975,NA,NA,NA,NA,"fued",0,1.346,2.937
"1297","want","ascent",1,2.936,20,1,1,15,0.375,NA,NA,NA,NA,"need ",0,1.63,2.955
"1297","mill","feast",1,2.688,15,1,0,2,0.05,NA,NA,NA,NA,"worker",0,1.897,2.862
"1297","prison","loaf",1,1.723,23,1,1,19,0.475,NA,NA,NA,NA,"form",0,1.648,2.173
"1297","fan","feature",1,1.787,32,1,1,5,0.125,NA,NA,NA,NA,"switch",0,1.963,3.031
"1297","shrink","mafia",1,2.173,29,1,1,23,0.575,NA,NA,NA,NA,"wrap",0,1.838,2.377
"1297","calf","annoy",1,2.251,34,1,0,6,0.15,NA,NA,NA,NA,"muscle",0,1.937,2.845
"1297","find","clown",1,1.541,6,1,1,27,0.675,NA,NA,NA,NA,"tough",0,2.254,5.243
"1297","anger","decay",1,2.015,4,1,1,33,0.825,NA,NA,NA,NA,"saw",0,5.021,5.598
"1297","date","laugh",1,1.746,26,1,1,21,0.525,NA,NA,NA,NA,"weather",0,1.36,2.298
