"subn","word1","word2","jol","jolrt","trial","list","practice","jolrank","jolrankp"
"1256","bacon","feud",-99,-99,1,1,0,9,0.025
"1256","want","ascent",-99,-99,2,1,1,2,0.05
"1256","biology","temper",-99,-99,3,1,0,29,0.075
"1256","plant","worm",-99,-99,4,1,0,39,0.1
"1256","pea","bathtub",-99,-99,5,1,1,8,0.125
"1256","glue","force",-99,-99,6,1,1,18,0.15
"1256","process","joker",-99,-99,7,1,1,14,0.175
"1256","knock","otter",-99,-99,8,1,1,24,0.2
"1256","link","crisis",-99,-99,9,1,0,11,0.225
"1256","nerve","bumper",-99,-99,10,1,1,10,0.25
"1256","mill","feast",-99,-99,11,1,0,35,0.275
"1256","bias","sirloin",-99,-99,12,1,0,15,0.3
"1256","port","cinema",-99,-99,13,1,1,34,0.325
"1256","anger","decay",-99,-99,14,1,0,7,0.35
"1256","climax","saucer",-99,-99,15,1,1,26,0.375
"1256","replace","roach",-99,-99,16,1,1,28,0.4
"1256","calf","annoy",-99,-99,17,1,1,22,0.425
"1256","need","faucet",-99,-99,18,1,0,27,0.45
"1256","bleach","ruin",-99,-99,19,1,1,30,0.475
"1256","banner","glide",-99,-99,20,1,0,21,0.5
"1256","smother","surgery",-99,-99,21,1,0,17,0.525
"1256","rock","milk",-99,-99,22,1,0,31,0.55
"1256","capital","figure",-99,-99,23,1,1,36,0.575
"1256","collect","loyalty",-99,-99,24,1,1,16,0.6
"1256","grip","beach",-99,-99,25,1,0,19,0.625
"1256","risk","zero",-99,-99,26,1,1,38,0.65
"1256","chicken","beet",-99,-99,27,1,1,40,0.675
"1256","find","clown",-99,-99,28,1,0,1,0.7
"1256","forest","knob",-99,-99,29,1,0,33,0.725
"1256","fan","feature",-99,-99,30,1,0,37,0.75
"1256","prison","loaf",-99,-99,31,1,1,6,0.775
"1256","bullet","walkway",-99,-99,32,1,1,12,0.8
"1256","fee","chowder",-99,-99,33,1,1,32,0.825
"1256","visit","glove",-99,-99,34,1,0,3,0.85
"1256","copy","bedroom",-99,-99,35,1,1,4,0.875
"1256","caring","skirt",-99,-99,36,1,1,20,0.9
"1256","date","laugh",-99,-99,37,1,0,23,0.925
"1256","pork","emperor",-99,-99,38,1,0,25,0.95
"1256","remind","foam",-99,-99,39,1,0,5,0.975
"1256","shrink","mafia",-99,-99,40,1,0,13,1
"1256","replace","roach",-99,-99,1,2,1,1,0.025
"1256","mill","feast",-99,-99,2,2,0,2,0.05
"1256","climax","saucer",-99,-99,3,2,1,3,0.075
"1256","risk","zero",-99,-99,4,2,1,4,0.1
"1256","pork","emperor",-99,-99,5,2,0,5,0.125
"1256","fee","chowder",-99,-99,6,2,1,6,0.15
"1256","rock","milk",-99,-99,7,2,0,7,0.175
"1256","chicken","beet",-99,-99,8,2,1,8,0.2
"1256","smother","surgery",-99,-99,9,2,0,9,0.225
