"subn","word1","word2","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert","restudyresp","restudyacc","restudyrtfirst","restudyrt"
"1053","biology","temper",1,1,62,9.433,25,0.625,0,0,1,0.863,"",NA,NA,NA
"1053","calf","annoy",2,1,35,10.24,24,0.6,1,0,0,1.8,"skip",0,NA,18.543
"1053","anger","decay",3,1,20,8.872,15,0.375,1,0,0,0.928,"skip",0,NA,14.841
"1053","port","cinema",4,1,20,7.032,16,0.4,0,0,1,0.824,"",NA,NA,NA
"1053","process","joker",5,1,19,19.521,14,0.35,1,0,0,1.232,"skip",0,NA,11.556
"1053","remind","foam",6,1,27,11.033,23,0.575,1,0,0,1.216,"skip",0,NA,6.929
"1053","link","crisis",7,1,90,8.872,36,0.9,1,1,1,18.393,"crisis",1,NA,7.4
"1053","smother","surgery",8,1,75,4.896,27,0.675,1,0,0,1.48,"surgery",1,NA,5.48
"1053","collect","loyalty",9,1,15,12.593,7,0.175,0,1,0,0.792,"",NA,NA,NA
"1053","glue","force",10,1,21,3.728,18,0.45,0,0,1,0.776,"",NA,NA,NA
"1053","prison","loaf",11,1,97,3.776,40,1,1,1,1,1.064,"loaf",1,NA,6.538
"1053","fan","feature",12,1,84,7.552,30,0.75,0,0,1,0.831,"",NA,NA,NA
"1053","replace","roach",13,1,17,8.24,10,0.25,0,1,0,1.016,"",NA,NA,NA
"1053","caring","skirt",14,1,18,7.688,11,0.275,0,1,0,0.96,"",NA,NA,NA
"1053","date","laugh",15,1,69,12.465,26,0.65,0,0,1,0.855,"",NA,NA,NA
"1053","nerve","bumper",16,1,26,10.001,21,0.525,0,0,1,0.928,"",NA,NA,NA
"1053","plant","worm",17,1,3,9.48,1,0.025,0,1,0,0.999,"",NA,NA,NA
"1053","mill","feast",18,1,15,12.745,6,0.15,0,1,0,1.68,"",NA,NA,NA
"1053","bacon","feud",19,1,89,4.808,35,0.875,1,1,1,1.448,"feud",1,NA,7.835
"1053","pea","bathtub",20,1,91,8.264,37,0.925,1,1,1,1.104,"bathroom",0,NA,10.336
"1053","bleach","ruin",21,1,86,7.08,32,0.8,1,1,1,1.135,"ruin",1,NA,5.185
"1053","visit","glove",22,1,18,7.736,13,0.325,1,0,0,1.103,"skip",0,NA,7.393
"1053","grip","beach",23,1,23,5.991,20,0.5,1,0,0,0.999,"skip",0,NA,17.417
"1053","risk","zero",24,1,14,6.28,5,0.125,0,1,0,0.911,"",NA,NA,NA
"1053","shrink","mafia",25,1,12,7.793,3,0.075,0,1,0,0.863,"",NA,NA,NA
"1053","need","faucet",26,1,10,7.824,2,0.05,0,1,0,1.079,"",NA,NA,NA
"1053","capital","figure",27,1,86,7.176,31,0.775,1,1,1,1.207,"figure",1,NA,5.072
"1053","chicken","beet",28,1,89,4.536,34,0.85,1,1,1,0.984,"beet",1,NA,4.456
"1053","banner","glide",29,1,16,7.168,8,0.2,0,1,0,0.888,"",NA,NA,NA
"1053","bullet","walkway",30,1,87,4.313,33,0.825,1,1,1,0.959,"hallway",0,NA,6.399
"1053","rock","milk",31,1,21,10.505,17,0.425,1,0,0,0.831,"beach",0,NA,6.152
"1053","climax","saucer",32,1,16,8.633,9,0.225,0,0,1,0.889,"",NA,NA,NA
"1053","bias","sirloin",33,1,94,7.215,39,0.975,1,1,1,3.175,"skip",0,NA,7.159
"1053","knock","otter",34,1,14,6.184,4,0.1,0,1,0,1.216,"",NA,NA,NA
"1053","want","ascent",35,1,84,7.584,29,0.725,0,0,1,1.304,"",NA,NA,NA
"1053","copy","bedroom",36,1,18,7.745,12,0.3,1,0,0,0.992,"skip",0,NA,7.949
"1053","forest","knob",37,1,26,4.479,22,0.55,0,0,1,0.896,"",NA,NA,NA
"1053","pork","emperor",38,1,92,8.833,38,0.95,1,1,1,1.464,"emperor",1,NA,31.13
"1053","fee","chowder",39,1,83,10.928,28,0.7,0,0,1,0.977,"",NA,NA,NA
"1053","find","clown",40,1,22,10.937,19,0.475,1,0,0,1.121,"skip",0,NA,8.109
"1053","caring","skirt",1,2,18,7.688,11,0.275,0,1,0,0.96,"",NA,NA,NA
"1053","process","joker",2,2,19,19.521,14,0.35,1,0,0,1.232,"skip",0,NA,12.261
"1053","need","faucet",3,2,10,7.824,2,0.05,0,1,0,1.079,"",NA,NA,NA
"1053","biology","temper",4,2,62,9.433,25,0.625,0,0,1,0.863,"",NA,NA,NA
"1053","find","clown",5,2,22,10.937,19,0.475,1,0,0,1.121,"skip",0,NA,9.493
"1053","calf","annoy",6,2,35,10.24,24,0.6,1,0,0,1.8,"skip",0,NA,5.448
"1053","mill","feast",7,2,15,12.745,6,0.15,0,1,0,1.68,"",NA,NA,NA
"1053","pork","emperor",8,2,92,8.833,38,0.95,1,1,1,1.464,"emperor",1,NA,10.329
"1053","visit","glove",9,2,18,7.736,13,0.325,1,0,0,1.103,"skip",0,NA,6.912
"1053","nerve","bumper",10,2,26,10.001,21,0.525,0,0,1,0.928,"",NA,NA,NA
"1053","shrink","mafia",11,2,12,7.793,3,0.075,0,1,0,0.863,"",NA,NA,NA
"1053","capital","figure",12,2,86,7.176,31,0.775,1,1,1,1.207,"figure",1,NA,4.717
"1053","link","crisis",13,2,90,8.872,36,0.9,1,1,1,18.393,"crisis",1,NA,8.16
"1053","rock","milk",14,2,21,10.505,17,0.425,1,0,0,0.831,"beach",0,NA,4.064
"1053","climax","saucer",15,2,16,8.633,9,0.225,0,0,1,0.889,"",NA,NA,NA
"1053","prison","loaf",16,2,97,3.776,40,1,1,1,1,1.064,"loaf",1,NA,3.44
"1053","risk","zero",17,2,14,6.28,5,0.125,0,1,0,0.911,"",NA,NA,NA
"1053","remind","foam",18,2,27,11.033,23,0.575,1,0,0,1.216,"skip",0,NA,5.152
"1053","chicken","beet",19,2,89,4.536,34,0.85,1,1,1,0.984,"beet",1,NA,4.377
"1053","glue","force",20,2,21,3.728,18,0.45,0,0,1,0.776,"",NA,NA,NA
"1053","replace","roach",21,2,17,8.24,10,0.25,0,1,0,1.016,"",NA,NA,NA
"1053","port","cinema",22,2,20,7.032,16,0.4,0,0,1,0.824,"",NA,NA,NA
"1053","banner","glide",23,2,16,7.168,8,0.2,0,1,0,0.888,"",NA,NA,NA
"1053","want","ascent",24,2,84,7.584,29,0.725,0,0,1,1.304,"",NA,NA,NA
"1053","grip","beach",25,2,23,5.991,20,0.5,1,0,0,0.999,"skip",0,NA,8.072
"1053","bias","sirloin",26,2,94,7.215,39,0.975,1,1,1,3.175,"skip",0,NA,5.065
"1053","pea","bathtub",27,2,91,8.264,37,0.925,1,1,1,1.104,"bathroom",0,NA,8.008
"1053","plant","worm",28,2,3,9.48,1,0.025,0,1,0,0.999,"",NA,NA,NA
"1053","collect","loyalty",29,2,15,12.593,7,0.175,0,1,0,0.792,"",NA,NA,NA
"1053","bleach","ruin",30,2,86,7.08,32,0.8,1,1,1,1.135,"ruin",1,NA,4.257
"1053","anger","decay",31,2,20,8.872,15,0.375,1,0,0,0.928,"skip",0,NA,6.103
"1053","date","laugh",32,2,69,12.465,26,0.65,0,0,1,0.855,"",NA,NA,NA
"1053","smother","surgery",33,2,75,4.896,27,0.675,1,0,0,1.48,"surgery",1,NA,6.664
"1053","fee","chowder",34,2,83,10.928,28,0.7,0,0,1,0.977,"",NA,NA,NA
"1053","fan","feature",35,2,84,7.552,30,0.75,0,0,1,0.831,"",NA,NA,NA
"1053","forest","knob",36,2,26,4.479,22,0.55,0,0,1,0.896,"",NA,NA,NA
"1053","knock","otter",37,2,14,6.184,4,0.1,0,1,0,1.216,"",NA,NA,NA
"1053","copy","bedroom",38,2,18,7.745,12,0.3,1,0,0,0.992,"skip",0,NA,6.096
"1053","bacon","feud",39,2,89,4.808,35,0.875,1,1,1,1.448,"feud",1,NA,4.079
"1053","bullet","walkway",40,2,87,4.313,33,0.825,1,1,1,0.959,"hallway",0,NA,5.064
"1053","fan","feature",1,3,84,7.552,30,0.75,0,0,1,0.831,"",NA,NA,NA
"1053","grip","beach",2,3,23,5.991,20,0.5,1,0,0,0.999,"skip",0,NA,6.014
"1053","process","joker",3,3,19,19.521,14,0.35,1,0,0,1.232,"skip",0,NA,4.377
"1053","prison","loaf",4,3,97,3.776,40,1,1,1,1,1.064,"loaf",1,NA,3.448
"1053","bacon","feud",5,3,89,4.808,35,0.875,1,1,1,1.448,"feud",1,NA,6.048
"1053","pork","emperor",6,3,92,8.833,38,0.95,1,1,1,1.464,"emperor",1,NA,5.321
"1053","port","cinema",7,3,20,7.032,16,0.4,0,0,1,0.824,"",NA,NA,NA
"1053","visit","glove",8,3,18,7.736,13,0.325,1,0,0,1.103,"skip",0,NA,8.682
"1053","smother","surgery",9,3,75,4.896,27,0.675,1,0,0,1.48,"surgery",1,NA,5.111
"1053","find","clown",10,3,22,10.937,19,0.475,1,0,0,1.121,"skip",0,NA,5.136
"1053","bleach","ruin",11,3,86,7.08,32,0.8,1,1,1,1.135,"ruin",1,NA,3.695
"1053","link","crisis",12,3,90,8.872,36,0.9,1,1,1,18.393,"crisis",1,NA,4.264
"1053","pea","bathtub",13,3,91,8.264,37,0.925,1,1,1,1.104,"bathroom",0,NA,5.16
"1053","bias","sirloin",14,3,94,7.215,39,0.975,1,1,1,3.175,"skip",0,NA,4.76
"1053","glue","force",15,3,21,3.728,18,0.45,0,0,1,0.776,"",NA,NA,NA
"1053","rock","milk",16,3,21,10.505,17,0.425,1,0,0,0.831,"beach",0,NA,6.077
"1053","plant","worm",17,3,3,9.48,1,0.025,0,1,0,0.999,"",NA,NA,NA
"1053","replace","roach",18,3,17,8.24,10,0.25,0,1,0,1.016,"",NA,NA,NA
"1053","capital","figure",19,3,86,7.176,31,0.775,1,1,1,1.207,"figure",1,NA,4.159
"1053","chicken","beet",20,3,89,4.536,34,0.85,1,1,1,0.984,"beet",1,NA,5.872
"1053","calf","annoy",21,3,35,10.24,24,0.6,1,0,0,1.8,"skip",0,NA,4.304
"1053","climax","saucer",22,3,16,8.633,9,0.225,0,0,1,0.889,"",NA,NA,NA
"1053","anger","decay",23,3,20,8.872,15,0.375,1,0,0,0.928,"skip",0,NA,3.834
"1053","want","ascent",24,3,84,7.584,29,0.725,0,0,1,1.304,"",NA,NA,NA
"1053","biology","temper",25,3,62,9.433,25,0.625,0,0,1,0.863,"",NA,NA,NA
"1053","remind","foam",26,3,27,11.033,23,0.575,1,0,0,1.216,"skip",0,NA,4.312
"1053","forest","knob",27,3,26,4.479,22,0.55,0,0,1,0.896,"",NA,NA,NA
"1053","banner","glide",28,3,16,7.168,8,0.2,0,1,0,0.888,"",NA,NA,NA
"1053","date","laugh",29,3,69,12.465,26,0.65,0,0,1,0.855,"",NA,NA,NA
"1053","need","faucet",30,3,10,7.824,2,0.05,0,1,0,1.079,"",NA,NA,NA
"1053","knock","otter",31,3,14,6.184,4,0.1,0,1,0,1.216,"",NA,NA,NA
"1053","caring","skirt",32,3,18,7.688,11,0.275,0,1,0,0.96,"",NA,NA,NA
"1053","risk","zero",33,3,14,6.28,5,0.125,0,1,0,0.911,"",NA,NA,NA
"1053","shrink","mafia",34,3,12,7.793,3,0.075,0,1,0,0.863,"",NA,NA,NA
"1053","fee","chowder",35,3,83,10.928,28,0.7,0,0,1,0.977,"",NA,NA,NA
"1053","bullet","walkway",36,3,87,4.313,33,0.825,1,1,1,0.959,"hallway",0,NA,5.711
"1053","mill","feast",37,3,15,12.745,6,0.15,0,1,0,1.68,"",NA,NA,NA
"1053","copy","bedroom",38,3,18,7.745,12,0.3,1,0,0,0.992,"skip",0,NA,4.134
"1053","nerve","bumper",39,3,26,10.001,21,0.525,0,0,1,0.928,"",NA,NA,NA
"1053","collect","loyalty",40,3,15,12.593,7,0.175,0,1,0,0.792,"",NA,NA,NA
"1055","process","joker",1,1,25,3.415,18,0.45,1,1,1,1.566,"dog",0,NA,62.133
"1055","prison","loaf",2,1,71,7.157,35,0.875,1,0,0,1.117,"loaf",1,NA,14.277
"1055","nerve","bumper",3,1,22,4.171,15,0.375,0,1,0,5.869,"",NA,NA,NA
"1055","bleach","ruin",4,1,100,6.454,40,1,1,1,1,1.341,"ruin",1,NA,15.116
"1055","want","ascent",5,1,26,9.916,19,0.475,0,1,0,1.318,"",NA,NA,NA
"1055","biology","temper",6,1,17,3.02,10,0.25,0,0,1,8.072,"",NA,NA,NA
"1055","pea","bathtub",7,1,22,3.991,16,0.4,0,1,0,1.604,"",NA,NA,NA
"1055","fee","chowder",8,1,16,2.743,8,0.2,0,0,1,1.31,"",NA,NA,NA
"1055","calf","annoy",9,1,49,45.151,31,0.775,1,0,0,1.206,"cat",0,NA,32.479
"1055","shrink","mafia",10,1,31,2.876,23,0.575,1,1,1,7.255,"no",0,NA,18.735
"1055","pork","emperor",11,1,74,3.252,37,0.925,1,0,0,0.872,"belly",0,NA,17.541
"1055","capital","figure",12,1,73,4.04,36,0.9,1,0,0,0.933,"figure",1,NA,13.66
"1055","caring","skirt",13,1,11,4.035,2,0.05,0,0,1,6.829,"",NA,NA,NA
"1055","date","laugh",14,1,67,9.719,34,0.85,1,0,0,1.797,"laugh",1,NA,23.207
"1055","glue","force",15,1,15,4.11,3,0.075,0,0,1,7.631,"",NA,NA,NA
"1055","rock","milk",16,1,58,3.087,33,0.825,1,1,1,4.216,"zero",0,NA,20.87
"1055","risk","zero",17,1,36,3.508,27,0.675,0,1,0,1.07,"",NA,NA,NA
"1055","link","crisis",18,1,18,2.845,11,0.275,0,1,0,1.533,"",NA,NA,NA
"1055","smother","surgery",19,1,16,8.245,7,0.175,0,0,1,1.045,"",NA,NA,NA
"1055","banner","glide",20,1,11,17.67,1,0.025,0,0,1,3.811,"",NA,NA,NA
"1055","plant","worm",21,1,79,2.814,39,0.975,1,0,0,1.06,"dig",0,NA,37.717
"1055","remind","foam",22,1,20,3.116,14,0.35,1,1,1,1.624,"saucer",0,NA,19.131
"1055","anger","decay",23,1,52,13.313,32,0.8,1,0,0,13.139,"happy",0,NA,9.514
"1055","fan","feature",24,1,34,3.077,26,0.65,0,1,0,7.214,"",NA,NA,NA
"1055","visit","glove",25,1,36,3.277,28,0.7,1,0,0,0.799,"try",0,NA,16.881
"1055","bullet","walkway",26,1,20,12.573,13,0.325,1,1,1,1.198,"bite",0,NA,7.104
"1055","find","clown",27,1,16,3.376,5,0.125,0,1,0,8.109,"",NA,NA,NA
"1055","port","cinema",28,1,78,5.076,38,0.95,1,0,0,1.23,"cinema",1,NA,17.811
"1055","collect","loyalty",29,1,34,4.763,25,0.625,0,1,0,2.328,"",NA,NA,NA
"1055","chicken","beet",30,1,41,5.526,30,0.75,1,1,1,1.741,"beet",1,NA,20.982
"1055","bacon","feud",31,1,17,4.671,9,0.225,0,0,1,2.128,"",NA,NA,NA
"1055","copy","bedroom",32,1,22,3.797,17,0.425,1,1,1,1.23,"bedroom",1,NA,24.035
"1055","forest","knob",33,1,26,4.91,20,0.5,1,1,1,3.526,"tree",0,NA,11.958
"1055","need","faucet",34,1,16,3.503,6,0.15,0,0,1,1.135,"",NA,NA,NA
"1055","bias","sirloin",35,1,30,10.637,22,0.55,0,1,0,0.997,"",NA,NA,NA
"1055","mill","feast",36,1,37,4.278,29,0.725,1,0,0,2.749,"no",0,NA,28.761
"1055","climax","saucer",37,1,15,8.309,4,0.1,0,0,1,1.39,"",NA,NA,NA
"1055","grip","beach",38,1,32,12.78,24,0.6,0,1,0,1.301,"",NA,NA,NA
"1055","replace","roach",39,1,27,4.733,21,0.525,1,1,1,1.022,"no",0,NA,22.473
"1055","knock","otter",40,1,18,3.293,12,0.3,0,0,1,1.526,"",NA,NA,NA
"1055","port","cinema",1,2,78,5.076,38,0.95,1,0,0,1.23,"cinema",1,NA,12.876
"1055","remind","foam",2,2,20,3.116,14,0.35,1,1,1,1.624,"replace",0,NA,13.149
"1055","fee","chowder",3,2,16,2.743,8,0.2,0,0,1,1.31,"",NA,NA,NA
"1055","shrink","mafia",4,2,31,2.876,23,0.575,1,1,1,7.255,"glove",0,NA,11.043
"1055","pea","bathtub",5,2,22,3.991,16,0.4,0,1,0,1.604,"",NA,NA,NA
"1055","capital","figure",6,2,73,4.04,36,0.9,1,0,0,0.933,"no",0,NA,37.149
"1055","fan","feature",7,2,34,3.077,26,0.65,0,1,0,7.214,"",NA,NA,NA
"1055","bias","sirloin",8,2,30,10.637,22,0.55,0,1,0,0.997,"",NA,NA,NA
"1055","copy","bedroom",9,2,22,3.797,17,0.425,1,1,1,1.23,"bedroom",1,NA,20.898
"1055","biology","temper",10,2,17,3.02,10,0.25,0,0,1,8.072,"",NA,NA,NA
"1055","collect","loyalty",11,2,34,4.763,25,0.625,0,1,0,2.328,"",NA,NA,NA
"1055","replace","roach",12,2,27,4.733,21,0.525,1,1,1,1.022,"no",0,NA,14.824
"1055","anger","decay",13,2,52,13.313,32,0.8,1,0,0,13.139,"decay",1,NA,10.768
"1055","grip","beach",14,2,32,12.78,24,0.6,0,1,0,1.301,"",NA,NA,NA
"1055","bacon","feud",15,2,17,4.671,9,0.225,0,0,1,2.128,"",NA,NA,NA
"1055","prison","loaf",16,2,71,7.157,35,0.875,1,0,0,1.117,"loaf",1,NA,13.28
"1055","link","crisis",17,2,18,2.845,11,0.275,0,1,0,1.533,"",NA,NA,NA
"1055","caring","skirt",18,2,11,4.035,2,0.05,0,0,1,6.829,"",NA,NA,NA
"1055","chicken","beet",19,2,41,5.526,30,0.75,1,1,1,1.741,"beet",1,NA,14.904
"1055","smother","surgery",20,2,16,8.245,7,0.175,0,0,1,1.045,"",NA,NA,NA
"1055","mill","feast",21,2,37,4.278,29,0.725,1,0,0,2.749,"no",0,NA,5.14
"1055","rock","milk",22,2,58,3.087,33,0.825,1,1,1,4.216,"milk",1,NA,34.255
"1055","find","clown",23,2,16,3.376,5,0.125,0,1,0,8.109,"",NA,NA,NA
"1055","forest","knob",24,2,26,4.91,20,0.5,1,1,1,3.526,"tree",0,NA,8.644
"1055","risk","zero",25,2,36,3.508,27,0.675,0,1,0,1.07,"",NA,NA,NA
"1055","process","joker",26,2,25,3.415,18,0.45,1,1,1,1.566,"no",0,NA,26.678
"1055","banner","glide",27,2,11,17.67,1,0.025,0,0,1,3.811,"",NA,NA,NA
"1055","date","laugh",28,2,67,9.719,34,0.85,1,0,0,1.797,"laugh",1,NA,11.333
"1055","bullet","walkway",29,2,20,12.573,13,0.325,1,1,1,1.198,"no",0,NA,17.032
"1055","nerve","bumper",30,2,22,4.171,15,0.375,0,1,0,5.869,"",NA,NA,NA
"1055","want","ascent",31,2,26,9.916,19,0.475,0,1,0,1.318,"",NA,NA,NA
"1055","calf","annoy",32,2,49,45.151,31,0.775,1,0,0,1.206,"no",0,NA,16.027
"1055","visit","glove",33,2,36,3.277,28,0.7,1,0,0,0.799,"no",0,NA,18.99
"1055","climax","saucer",34,2,15,8.309,4,0.1,0,0,1,1.39,"",NA,NA,NA
"1055","need","faucet",35,2,16,3.503,6,0.15,0,0,1,1.135,"",NA,NA,NA
"1055","plant","worm",36,2,79,2.814,39,0.975,1,0,0,1.06,"worm",1,NA,9.714
"1055","pork","emperor",37,2,74,3.252,37,0.925,1,0,0,0.872,"no",0,NA,25.223
"1055","knock","otter",38,2,18,3.293,12,0.3,0,0,1,1.526,"",NA,NA,NA
"1055","glue","force",39,2,15,4.11,3,0.075,0,0,1,7.631,"",NA,NA,NA
"1055","bleach","ruin",40,2,100,6.454,40,1,1,1,1,1.341,"ruin",1,NA,8.961
"1055","prison","loaf",1,3,71,7.157,35,0.875,1,0,0,1.117,"no",0,NA,8.657
"1055","capital","figure",2,3,73,4.04,36,0.9,1,0,0,0.933,"figure",1,NA,12.092
"1055","knock","otter",3,3,18,3.293,12,0.3,0,0,1,1.526,"",NA,NA,NA
"1055","nerve","bumper",4,3,22,4.171,15,0.375,0,1,0,5.869,"",NA,NA,NA
"1055","port","cinema",5,3,78,5.076,38,0.95,1,0,0,1.23,"cinema",1,NA,19.421
"1055","find","clown",6,3,16,3.376,5,0.125,0,1,0,8.109,"",NA,NA,NA
"1055","banner","glide",7,3,11,17.67,1,0.025,0,0,1,3.811,"",NA,NA,NA
"1055","rock","milk",8,3,58,3.087,33,0.825,1,1,1,4.216,"milk",1,NA,10.266
"1055","need","faucet",9,3,16,3.503,6,0.15,0,0,1,1.135,"",NA,NA,NA
"1055","collect","loyalty",10,3,34,4.763,25,0.625,0,1,0,2.328,"",NA,NA,NA
"1055","bacon","feud",11,3,17,4.671,9,0.225,0,0,1,2.128,"",NA,NA,NA
"1055","bias","sirloin",12,3,30,10.637,22,0.55,0,1,0,0.997,"",NA,NA,NA
"1055","chicken","beet",13,3,41,5.526,30,0.75,1,1,1,1.741,"beet",1,NA,6.142
"1055","climax","saucer",14,3,15,8.309,4,0.1,0,0,1,1.39,"",NA,NA,NA
"1055","calf","annoy",15,3,49,45.151,31,0.775,1,0,0,1.206,"no",0,NA,11.29
"1055","bleach","ruin",16,3,100,6.454,40,1,1,1,1,1.341,"ruin",1,NA,5.2
"1055","shrink","mafia",17,3,31,2.876,23,0.575,1,1,1,7.255,"no",0,NA,25.552
"1055","plant","worm",18,3,79,2.814,39,0.975,1,0,0,1.06,"worm",1,NA,11.11
"1055","process","joker",19,3,25,3.415,18,0.45,1,1,1,1.566,"no",0,NA,6.348
"1055","mill","feast",20,3,37,4.278,29,0.725,1,0,0,2.749,"no",0,NA,28.205
