"subn","word1","word2","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert"
"1053","fan","feature",1,1,-99,-99,NA,NA,0,0,-99,-99
"1053","grip","beach",2,1,-99,-99,NA,NA,1,0,-99,-99
"1053","need","faucet",3,1,-99,-99,NA,NA,0,1,-99,-99
"1053","pork","emperor",4,1,-99,-99,NA,NA,1,1,-99,-99
"1053","smother","surgery",5,1,-99,-99,NA,NA,1,0,-99,-99
"1053","caring","skirt",6,1,-99,-99,NA,NA,0,1,-99,-99
"1053","process","joker",7,1,-99,-99,NA,NA,1,0,-99,-99
"1053","chicken","beet",8,1,-99,-99,NA,NA,1,1,-99,-99
"1053","shrink","mafia",9,1,-99,-99,NA,NA,0,1,-99,-99
"1053","bullet","walkway",10,1,-99,-99,NA,NA,1,1,-99,-99
"1053","knock","otter",11,1,-99,-99,NA,NA,0,1,-99,-99
"1053","port","cinema",12,1,-99,-99,NA,NA,0,0,-99,-99
"1053","biology","temper",13,1,-99,-99,NA,NA,0,0,-99,-99
"1053","bacon","feud",14,1,-99,-99,NA,NA,1,1,-99,-99
"1053","visit","glove",15,1,-99,-99,NA,NA,1,0,-99,-99
"1053","bleach","ruin",16,1,-99,-99,NA,NA,1,1,-99,-99
"1053","banner","glide",17,1,-99,-99,NA,NA,0,1,-99,-99
"1053","plant","worm",18,1,-99,-99,NA,NA,0,1,-99,-99
"1053","calf","annoy",19,1,-99,-99,NA,NA,1,0,-99,-99
"1053","fee","chowder",20,1,-99,-99,NA,NA,0,0,-99,-99
"1053","bias","sirloin",21,1,-99,-99,NA,NA,1,1,-99,-99
"1053","replace","roach",22,1,-99,-99,NA,NA,0,1,-99,-99
"1053","want","ascent",23,1,-99,-99,NA,NA,0,0,-99,-99
"1053","copy","bedroom",24,1,-99,-99,NA,NA,1,0,-99,-99
"1053","collect","loyalty",25,1,-99,-99,NA,NA,0,1,-99,-99
"1053","remind","foam",26,1,-99,-99,NA,NA,1,0,-99,-99
"1053","risk","zero",27,1,-99,-99,NA,NA,0,1,-99,-99
"1053","climax","saucer",28,1,-99,-99,NA,NA,0,0,-99,-99
"1053","forest","knob",29,1,-99,-99,NA,NA,0,0,-99,-99
"1053","anger","decay",30,1,-99,-99,NA,NA,1,0,-99,-99
"1053","nerve","bumper",31,1,-99,-99,NA,NA,0,0,-99,-99
"1053","find","clown",32,1,-99,-99,NA,NA,1,0,-99,-99
"1053","prison","loaf",33,1,-99,-99,NA,NA,1,1,-99,-99
"1053","pea","bathtub",34,1,-99,-99,NA,NA,1,1,-99,-99
