"subn","word1","word2","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert","restudyresp","restudyacc","restudyrtfirst","restudyrt","response","testacc","rtfirst","rt"
"1053","rock","milk",31,1,21,10.505,17,0.425,1,0,0,0.831,NA,NA,NA,NA,"beach",0,3.375,7.255
"1053","anger","decay",3,1,20,8.872,15,0.375,1,0,0,0.928,NA,NA,NA,NA,"skip",0,15.666,18.634
"1053","smother","surgery",8,1,75,4.896,27,0.675,1,0,0,1.48,NA,NA,NA,NA,"surgery",1,2.136,5.776
"1053","glue","force",10,1,21,3.728,18,0.45,0,0,1,0.776,NA,NA,NA,NA,"skip",0,7.713,10.345
"1053","calf","annoy",2,1,35,10.24,24,0.6,1,0,0,1.8,NA,NA,NA,NA,"skip",0,20.067,22.131
"1053","banner","glide",29,1,16,7.168,8,0.2,0,1,0,0.888,NA,NA,NA,NA,"glide",1,7.217,11.753
"1053","biology","temper",1,1,62,9.433,25,0.625,0,0,1,0.863,NA,NA,NA,NA,"temper",1,2.416,4.616
"1053","shrink","mafia",25,1,12,7.793,3,0.075,0,1,0,0.863,NA,NA,NA,NA,"mafia",1,3.456,5.041
"1053","capital","figure",27,1,86,7.176,31,0.775,1,1,1,1.207,NA,NA,NA,NA,"figure",1,1.72,4.152
"1053","bacon","feud",19,1,89,4.808,35,0.875,1,1,1,1.448,NA,NA,NA,NA,"feud",1,1.903,4.472
"1053","remind","foam",6,1,27,11.033,23,0.575,1,0,0,1.216,NA,NA,NA,NA,"skip",0,4.423,5.976
"1053","copy","bedroom",36,1,18,7.745,12,0.3,1,0,0,0.992,NA,NA,NA,NA,"skip",0,3.552,4.888
"1053","chicken","beet",28,1,89,4.536,34,0.85,1,1,1,0.984,NA,NA,NA,NA,"beet",1,1.857,3.264
"1053","fan","feature",12,1,84,7.552,30,0.75,0,0,1,0.831,NA,NA,NA,NA,"feature",1,3.96,6.72
"1053","knock","otter",34,1,14,6.184,4,0.1,0,1,0,1.216,NA,NA,NA,NA,"skip",0,7.745,9.193
"1053","risk","zero",24,1,14,6.28,5,0.125,0,1,0,0.911,NA,NA,NA,NA,"zero",1,3.08,4.729
"1053","collect","loyalty",9,1,15,12.593,7,0.175,0,1,0,0.792,NA,NA,NA,NA,"skip",0,14.034,15.697
"1053","plant","worm",17,1,3,9.48,1,0.025,0,1,0,0.999,NA,NA,NA,NA,"worm",1,2.184,3.72
"1053","want","ascent",35,1,84,7.584,29,0.725,0,0,1,1.304,NA,NA,NA,NA,"skip",0,2.833,4.321
"1053","date","laugh",15,1,69,12.465,26,0.65,0,0,1,0.855,NA,NA,NA,NA,"laugh",1,2.808,4.504
"1053","link","crisis",7,1,90,8.872,36,0.9,1,1,1,18.393,NA,NA,NA,NA,"crisis",1,1.767,4.135
"1053","bias","sirloin",33,1,94,7.215,39,0.975,1,1,1,3.175,NA,NA,NA,NA,"skip",0,9.424,10.857
"1053","replace","roach",13,1,17,8.24,10,0.25,0,1,0,1.016,NA,NA,NA,NA,"skip",0,2.264,3.96
"1053","pea","bathtub",20,1,91,8.264,37,0.925,1,1,1,1.104,NA,NA,NA,NA,"bathroom",0,1.953,4.473
"1053","need","faucet",26,1,10,7.824,2,0.05,0,1,0,1.079,NA,NA,NA,NA,"skip",0,5.816,7.272
"1053","visit","glove",22,1,18,7.736,13,0.325,1,0,0,1.103,NA,NA,NA,NA,"skip",0,6.529,8
"1053","caring","skirt",14,1,18,7.688,11,0.275,0,1,0,0.96,NA,NA,NA,NA,"skip",0,5.921,7.305
"1053","bullet","walkway",30,1,87,4.313,33,0.825,1,1,1,0.959,NA,NA,NA,NA,"hallway",0,1.792,4.368
"1053","climax","saucer",32,1,16,8.633,9,0.225,0,0,1,0.889,NA,NA,NA,NA,"saucer",1,2.136,5.408
"1053","pork","emperor",38,1,92,8.833,38,0.95,1,1,1,1.464,NA,NA,NA,NA,"emperor",1,2.192,12.874
"1053","nerve","bumper",16,1,26,10.001,21,0.525,0,0,1,0.928,NA,NA,NA,NA,"bumper",1,2.944,5.857
"1053","find","clown",40,1,22,10.937,19,0.475,1,0,0,1.121,NA,NA,NA,NA,"skip",0,6.273,7.697
"1053","prison","loaf",11,1,97,3.776,40,1,1,1,1,1.064,NA,NA,NA,NA,"loaf",1,1.72,6.929
"1053","bleach","ruin",21,1,86,7.08,32,0.8,1,1,1,1.135,NA,NA,NA,NA,"ruin",1,2.12,3.76
"1053","mill","feast",18,1,15,12.745,6,0.15,0,1,0,1.68,NA,NA,NA,NA,"skip",0,16.698,18.162
"1053","port","cinema",4,1,20,7.032,16,0.4,0,0,1,0.824,NA,NA,NA,NA,"cinema",1,2.776,6.04
"1053","forest","knob",37,1,26,4.479,22,0.55,0,0,1,0.896,NA,NA,NA,NA,"ribbon",0,6.225,10.337
"1053","process","joker",5,1,19,19.521,14,0.35,1,0,0,1.232,NA,NA,NA,NA,"skip",0,2.945,4.984
"1053","grip","beach",23,1,23,5.991,20,0.5,1,0,0,0.999,NA,NA,NA,NA,"skip",0,2.808,5.601
"1053","fee","chowder",39,1,83,10.928,28,0.7,0,0,1,0.977,NA,NA,NA,NA,"loyality",0,1.872,5.736
"1055","process","joker",1,1,25,3.415,18,0.45,1,1,1,1.566,NA,NA,NA,NA,"no",0,8.837,10.485
"1055","collect","loyalty",29,1,34,4.763,25,0.625,0,1,0,2.328,NA,NA,NA,NA,"loyalty",1,8.032,17.176
"1055","need","faucet",34,1,16,3.503,6,0.15,0,0,1,1.135,NA,NA,NA,NA,"faucet",1,5.259,8.446
"1055","capital","figure",12,1,73,4.04,36,0.9,1,0,0,0.933,NA,NA,NA,NA,"figure",1,5.079,7.606
"1055","fee","chowder",8,1,16,2.743,8,0.2,0,0,1,1.31,NA,NA,NA,NA,"chowder",1,4.766,7.694
"1055","link","crisis",18,1,18,2.845,11,0.275,0,1,0,1.533,NA,NA,NA,NA,"crisis",1,4.175,7.469
"1055","climax","saucer",37,1,15,8.309,4,0.1,0,0,1,1.39,NA,NA,NA,NA,"saucer",1,5.022,8.231
"1055","replace","roach",39,1,27,4.733,21,0.525,1,1,1,1.022,NA,NA,NA,NA,"no",0,4.441,6.08
"1055","port","cinema",28,1,78,5.076,38,0.95,1,0,0,1.23,NA,NA,NA,NA,"cinema",1,4.343,6.822
"1055","date","laugh",14,1,67,9.719,34,0.85,1,0,0,1.797,NA,NA,NA,NA,"laugh",1,2.079,4.455
"1055","chicken","beet",30,1,41,5.526,30,0.75,1,1,1,1.741,NA,NA,NA,NA,"beet",1,2.133,4.047
"1055","fan","feature",24,1,34,3.077,26,0.65,0,1,0,7.214,NA,NA,NA,NA,"feature",1,4.582,7.454
"1055","banner","glide",20,1,11,17.67,1,0.025,0,0,1,3.811,NA,NA,NA,NA,"glide",1,3.419,5.59
"1055","shrink","mafia",10,1,31,2.876,23,0.575,1,1,1,7.255,NA,NA,NA,NA,"no",0,4.671,6.215
"1055","smother","surgery",19,1,16,8.245,7,0.175,0,0,1,1.045,NA,NA,NA,NA,"surgery",1,3.207,6.055
"1055","calf","annoy",9,1,49,45.151,31,0.775,1,0,0,1.206,NA,NA,NA,NA,"no",0,4.443,6.021
"1055","prison","loaf",2,1,71,7.157,35,0.875,1,0,0,1.117,NA,NA,NA,NA,"loaf",1,1.757,5.877
"1055","want","ascent",5,1,26,9.916,19,0.475,0,1,0,1.318,NA,NA,NA,NA,"ascent",1,3.183,6.12
"1055","grip","beach",38,1,32,12.78,24,0.6,0,1,0,1.301,NA,NA,NA,NA,"beach",1,4.901,7.214
"1055","remind","foam",22,1,20,3.116,14,0.35,1,1,1,1.624,NA,NA,NA,NA,"no",0,2.454,4.126
"1055","bullet","walkway",26,1,20,12.573,13,0.325,1,1,1,1.198,NA,NA,NA,NA,"no",0,4.966,7.119
"1055","mill","feast",36,1,37,4.278,29,0.725,1,0,0,2.749,NA,NA,NA,NA,"no",0,4.474,6.383
"1055","glue","force",15,1,15,4.11,3,0.075,0,0,1,7.631,NA,NA,NA,NA,"force",1,4.932,6.973
"1055","plant","worm",21,1,79,2.814,39,0.975,1,0,0,1.06,NA,NA,NA,NA,"tree",0,10.346,12.158
"1055","forest","knob",33,1,26,4.91,20,0.5,1,1,1,3.526,NA,NA,NA,NA,"knob",1,5.541,7.694
"1055","anger","decay",23,1,52,13.313,32,0.8,1,0,0,13.139,NA,NA,NA,NA,"decay",1,2.949,5.525
"1055","biology","temper",6,1,17,3.02,10,0.25,0,0,1,8.072,NA,NA,NA,NA,"temper",1,4.397,7.421
"1055","visit","glove",25,1,36,3.277,28,0.7,1,0,0,0.799,NA,NA,NA,NA,"place",0,7.646,12.607
"1055","find","clown",27,1,16,3.376,5,0.125,0,1,0,8.109,NA,NA,NA,NA,"clown",1,3.805,6.014
"1055","pea","bathtub",7,1,22,3.991,16,0.4,0,1,0,1.604,NA,NA,NA,NA,"bathtub",1,5.057,11.924
"1055","pork","emperor",11,1,74,3.252,37,0.925,1,0,0,0.872,NA,NA,NA,NA,"no",0,3.277,4.977
"1055","bacon","feud",31,1,17,4.671,9,0.225,0,0,1,2.128,NA,NA,NA,NA,"fued",0,3.56,5.797
"1055","risk","zero",17,1,36,3.508,27,0.675,0,1,0,1.07,NA,NA,NA,NA,"zero",1,2.494,7.166
"1055","nerve","bumper",3,1,22,4.171,15,0.375,0,1,0,5.869,NA,NA,NA,NA,"no",0,6.929,8.63
"1055","bleach","ruin",4,1,100,6.454,40,1,1,1,1,1.341,NA,NA,NA,NA,"ruin",1,2.182,4.358
"1055","knock","otter",40,1,18,3.293,12,0.3,0,0,1,1.526,NA,NA,NA,NA,"otter",1,2.478,4.382
"1055","bias","sirloin",35,1,30,10.637,22,0.55,0,1,0,0.997,NA,NA,NA,NA,"sirloin",1,3.566,6.974
"1055","copy","bedroom",32,1,22,3.797,17,0.425,1,1,1,1.23,NA,NA,NA,NA,"bedroom",1,3.748,7.333
"1055","caring","skirt",13,1,11,4.035,2,0.05,0,0,1,6.829,NA,NA,NA,NA,"skirt",1,3.657,6.336
"1055","rock","milk",16,1,58,3.087,33,0.825,1,1,1,4.216,NA,NA,NA,NA,"milk",1,2.122,7.19
"1262","mill","feast",18,1,58,3.285,19,0.475,0,1,0,0.977,NA,NA,NA,NA,"feast",1,12.239,19.109
"1262","calf","annoy",8,1,58,4.342,18,0.45,0,1,0,0.951,NA,NA,NA,NA,"annoy",1,11.243,17.494
"1262","bias","sirloin",4,1,70,7.989,30,0.75,0,0,1,41.024,NA,NA,NA,NA,"sirloin",1,10.131,17.047
"1262","prison","loaf",21,1,60,62.735,22,0.55,1,1,1,1.455,NA,NA,NA,NA,"SKIP",0,14.701,18.826
"1262","remind","foam",7,1,54,41.487,14,0.35,1,1,1,1.087,NA,NA,NA,NA,"foam",1,10.262,15.867
"1262","knock","otter",37,1,59,81.104,20,0.5,1,1,1,2.188,NA,NA,NA,NA,"beaver",0,12.465,32.27
"1262","copy","bedroom",29,1,58,13.359,17,0.425,1,0,0,0.816,NA,NA,NA,NA,"bedroom",1,9.066,12.327
"1262","chicken","beet",14,1,85,30.399,37,0.925,0,0,1,5.823,NA,NA,NA,NA,"SKIP",0,27.387,30.384
"1262","bleach","ruin",35,1,66,2.982,28,0.7,0,1,0,1.175,NA,NA,NA,NA,"ruin",1,18.349,22.11
"1262","need","faucet",26,1,32,23.847,6,0.15,1,1,1,1.095,NA,NA,NA,NA,"SKIP",0,15.005,20.376
"1262","nerve","bumper",2,1,35,3.752,9,0.225,1,0,0,1.038,NA,NA,NA,NA,"bumper",1,8.917,15.801
"1262","shrink","mafia",39,1,63,9.656,25,0.625,0,1,0,0.855,NA,NA,NA,NA,"mafia",1,13.538,20.111
"1262","port","cinema",9,1,8,52.815,2,0.05,1,1,1,1.334,NA,NA,NA,NA,"SKIP",0,17.578,20.55
"1262","smother","surgery",24,1,63,35.973,24,0.6,0,1,0,6.75,NA,NA,NA,NA,"surgery",1,10.084,14.297
"1262","bacon","feud",40,1,95,38.583,40,1,0,0,1,1.2,NA,NA,NA,NA,"feud",1,10.494,13.022
"1262","replace","roach",33,1,71,4.831,32,0.8,0,0,1,1.35,NA,NA,NA,NA,"ranch",0,12.236,17.602
"1262","glue","force",22,1,59,2.976,21,0.525,0,1,0,0.792,NA,NA,NA,NA,"force",1,14.122,19.676
"1262","visit","glove",31,1,80,11.519,34,0.85,0,0,1,1.207,NA,NA,NA,NA,"glove",1,10.804,17.992
"1262","caring","skirt",12,1,21,38.534,4,0.1,1,1,1,1.007,NA,NA,NA,NA,"bear",0,15.284,18.615
"1262","capital","figure",11,1,94,6.737,39,0.975,0,0,1,1.165,NA,NA,NA,NA,"figure",1,9.753,21.879
"1262","banner","glide",38,1,4,34.135,1,0.025,1,1,1,1.111,NA,NA,NA,NA,"year",0,11.397,14.006
"1262","biology","temper",36,1,33,19.879,8,0.2,1,0,0,0.782,NA,NA,NA,NA,"tamper",0,12.985,17.981
"1262","collect","loyalty",17,1,36,45.272,10,0.25,1,1,1,1.31,NA,NA,NA,NA,"loyalty",1,11.639,19.362
"1262","process","joker",5,1,41,17.932,11,0.275,1,0,0,1.022,NA,NA,NA,NA,"joke",0,16.054,20.161
"1262","anger","decay",32,1,41,3.208,12,0.3,1,0,0,0.798,NA,NA,NA,NA,"delay",0,14.793,18.751
"1262","date","laugh",15,1,81,20.151,35,0.875,0,0,1,6.263,NA,NA,NA,NA,"laugh",1,9.951,15.182
"1262","grip","beach",23,1,71,2.375,31,0.775,0,0,1,1.623,NA,NA,NA,NA,"SKIP",0,17.786,21.959
"1262","fan","feature",25,1,33,23.552,7,0.175,1,0,0,1.087,NA,NA,NA,NA,"feature",1,8.881,14.831
"1262","find","clown",6,1,53,12.097,13,0.325,1,0,0,1.26,NA,NA,NA,NA,"clown",1,10.632,16.047
"1262","risk","zero",16,1,26,26.152,5,0.125,1,0,0,0.895,NA,NA,NA,NA,"block",0,16.647,20.912
"1262","climax","saucer",27,1,60,11.022,23,0.575,0,1,0,3.54,NA,NA,NA,NA,"sauce",0,11.288,22.592
"1262","pea","bathtub",3,1,63,6.447,26,0.65,0,1,0,0.878,NA,NA,NA,NA,"bathtub",1,10.957,22.263
"1262","link","crisis",10,1,79,4.929,33,0.825,0,1,0,3.546,NA,NA,NA,NA,"crisis",1,9.126,14.921
"1262","forest","knob",28,1,85,35.635,38,0.95,0,0,1,1.051,NA,NA,NA,NA,"handle",0,12.061,16.43
"1262","fee","chowder",30,1,81,53.311,36,0.9,0,0,1,0.982,NA,NA,NA,NA,"chowder",1,10.626,16.06
"1262","pork","emperor",19,1,57,18.463,15,0.375,1,1,1,0.935,NA,NA,NA,NA,"emperor",1,2.671,7.435
"1262","bullet","walkway",13,1,68,21.711,29,0.725,1,1,1,1.133,NA,NA,NA,NA,"path",0,11.801,14.992
"1262","plant","worm",20,1,65,11.574,27,0.675,0,1,0,0.903,NA,NA,NA,NA,"worm",1,10.215,13.247
"1262","want","ascent",1,1,12,35.108,3,0.075,1,0,0,1.15,NA,NA,NA,NA,"beer",0,31.34,33.614
"1262","rock","milk",34,1,57,11.335,16,0.4,1,0,0,1.063,NA,NA,NA,NA,"milk",1,8.821,12.512
"1265","banner","glide",1,1,1,3.522,4,0.1,0,1,0,1.145,NA,NA,NA,NA,"skip",0,3.322,7.792
