"subn","word1","word2","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert","restudyresp","restudyacc","restudyrtfirst","restudyrt"
"1055","process","joker",1,1,25,3.415,18,0.45,1,1,1,1.566,"dog",0,NA,62.133
"1055","prison","loaf",2,1,71,7.157,35,0.875,1,0,0,1.117,"loaf",1,NA,14.277
"1055","nerve","bumper",3,1,22,4.171,15,0.375,0,1,0,5.869,"",NA,NA,NA
"1055","bleach","ruin",4,1,100,6.454,40,1,1,1,1,1.341,"ruin",1,NA,15.116
"1055","want","ascent",5,1,26,9.916,19,0.475,0,1,0,1.318,"",NA,NA,NA
"1055","biology","temper",6,1,17,3.02,10,0.25,0,0,1,8.072,"",NA,NA,NA
"1055","pea","bathtub",7,1,22,3.991,16,0.4,0,1,0,1.604,"",NA,NA,NA
"1055","fee","chowder",8,1,16,2.743,8,0.2,0,0,1,1.31,"",NA,NA,NA
"1055","calf","annoy",9,1,49,45.151,31,0.775,1,0,0,1.206,"cat",0,NA,32.479
"1055","shrink","mafia",10,1,31,2.876,23,0.575,1,1,1,7.255,"no",0,NA,18.735
"1055","pork","emperor",11,1,74,3.252,37,0.925,1,0,0,0.872,"belly",0,NA,17.541
"1055","capital","figure",12,1,73,4.04,36,0.9,1,0,0,0.933,"figure",1,NA,13.66
"1055","caring","skirt",13,1,11,4.035,2,0.05,0,0,1,6.829,"",NA,NA,NA
"1055","date","laugh",14,1,67,9.719,34,0.85,1,0,0,1.797,"laugh",1,NA,23.207
"1055","glue","force",15,1,15,4.11,3,0.075,0,0,1,7.631,"",NA,NA,NA
"1055","rock","milk",16,1,58,3.087,33,0.825,1,1,1,4.216,"zero",0,NA,20.87
"1055","risk","zero",17,1,36,3.508,27,0.675,0,1,0,1.07,"",NA,NA,NA
"1055","link","crisis",18,1,18,2.845,11,0.275,0,1,0,1.533,"",NA,NA,NA
"1055","smother","surgery",19,1,16,8.245,7,0.175,0,0,1,1.045,"",NA,NA,NA
"1055","banner","glide",20,1,11,17.67,1,0.025,0,0,1,3.811,"",NA,NA,NA
"1055","plant","worm",21,1,79,2.814,39,0.975,1,0,0,1.06,"dig",0,NA,37.717
"1055","remind","foam",22,1,20,3.116,14,0.35,1,1,1,1.624,"saucer",0,NA,19.131
"1055","anger","decay",23,1,52,13.313,32,0.8,1,0,0,13.139,"happy",0,NA,9.514
"1055","fan","feature",24,1,34,3.077,26,0.65,0,1,0,7.214,"",NA,NA,NA
"1055","visit","glove",25,1,36,3.277,28,0.7,1,0,0,0.799,"try",0,NA,16.881
"1055","bullet","walkway",26,1,20,12.573,13,0.325,1,1,1,1.198,"bite",0,NA,7.104
"1055","find","clown",27,1,16,3.376,5,0.125,0,1,0,8.109,"",NA,NA,NA
"1055","port","cinema",28,1,78,5.076,38,0.95,1,0,0,1.23,"cinema",1,NA,17.811
"1055","collect","loyalty",29,1,34,4.763,25,0.625,0,1,0,2.328,"",NA,NA,NA
"1055","chicken","beet",30,1,41,5.526,30,0.75,1,1,1,1.741,"beet",1,NA,20.982
"1055","bacon","feud",31,1,17,4.671,9,0.225,0,0,1,2.128,"",NA,NA,NA
"1055","copy","bedroom",32,1,22,3.797,17,0.425,1,1,1,1.23,"bedroom",1,NA,24.035
"1055","forest","knob",33,1,26,4.91,20,0.5,1,1,1,3.526,"tree",0,NA,11.958
"1055","need","faucet",34,1,16,3.503,6,0.15,0,0,1,1.135,"",NA,NA,NA
"1055","bias","sirloin",35,1,30,10.637,22,0.55,0,1,0,0.997,"",NA,NA,NA
"1055","mill","feast",36,1,37,4.278,29,0.725,1,0,0,2.749,"no",0,NA,28.761
"1055","climax","saucer",37,1,15,8.309,4,0.1,0,0,1,1.39,"",NA,NA,NA
"1055","grip","beach",38,1,32,12.78,24,0.6,0,1,0,1.301,"",NA,NA,NA
"1055","replace","roach",39,1,27,4.733,21,0.525,1,1,1,1.022,"no",0,NA,22.473
"1055","knock","otter",40,1,18,3.293,12,0.3,0,0,1,1.526,"",NA,NA,NA
"1055","port","cinema",1,2,78,5.076,38,0.95,1,0,0,1.23,"cinema",1,NA,12.876
"1055","remind","foam",2,2,20,3.116,14,0.35,1,1,1,1.624,"replace",0,NA,13.149
"1055","fee","chowder",3,2,16,2.743,8,0.2,0,0,1,1.31,"",NA,NA,NA
"1055","shrink","mafia",4,2,31,2.876,23,0.575,1,1,1,7.255,"glove",0,NA,11.043
"1055","pea","bathtub",5,2,22,3.991,16,0.4,0,1,0,1.604,"",NA,NA,NA
"1055","capital","figure",6,2,73,4.04,36,0.9,1,0,0,0.933,"no",0,NA,37.149
"1055","fan","feature",7,2,34,3.077,26,0.65,0,1,0,7.214,"",NA,NA,NA
"1055","bias","sirloin",8,2,30,10.637,22,0.55,0,1,0,0.997,"",NA,NA,NA
"1055","copy","bedroom",9,2,22,3.797,17,0.425,1,1,1,1.23,"bedroom",1,NA,20.898
"1055","biology","temper",10,2,17,3.02,10,0.25,0,0,1,8.072,"",NA,NA,NA
"1055","collect","loyalty",11,2,34,4.763,25,0.625,0,1,0,2.328,"",NA,NA,NA
"1055","replace","roach",12,2,27,4.733,21,0.525,1,1,1,1.022,"no",0,NA,14.824
"1055","anger","decay",13,2,52,13.313,32,0.8,1,0,0,13.139,"decay",1,NA,10.768
"1055","grip","beach",14,2,32,12.78,24,0.6,0,1,0,1.301,"",NA,NA,NA
"1055","bacon","feud",15,2,17,4.671,9,0.225,0,0,1,2.128,"",NA,NA,NA
"1055","prison","loaf",16,2,71,7.157,35,0.875,1,0,0,1.117,"loaf",1,NA,13.28
"1055","link","crisis",17,2,18,2.845,11,0.275,0,1,0,1.533,"",NA,NA,NA
"1055","caring","skirt",18,2,11,4.035,2,0.05,0,0,1,6.829,"",NA,NA,NA
"1055","chicken","beet",19,2,41,5.526,30,0.75,1,1,1,1.741,"beet",1,NA,14.904
