"subn","word1","word2","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert"
"1055","smother","surgery",1,1,-99,-99,NA,NA,0,0,-99,-99
"1055","process","joker",2,1,-99,-99,NA,NA,1,1,-99,-99
"1055","link","crisis",3,1,-99,-99,NA,NA,0,1,-99,-99
"1055","climax","saucer",4,1,-99,-99,NA,NA,0,0,-99,-99
"1055","bleach","ruin",5,1,-99,-99,NA,NA,1,1,-99,-99
"1055","knock","otter",6,1,-99,-99,NA,NA,0,0,-99,-99
"1055","banner","glide",7,1,-99,-99,NA,NA,0,0,-99,-99
"1055","shrink","mafia",8,1,-99,-99,NA,NA,1,1,-99,-99
"1055","risk","zero",9,1,-99,-99,NA,NA,0,1,-99,-99
"1055","replace","roach",10,1,-99,-99,NA,NA,1,1,-99,-99
"1055","want","ascent",11,1,-99,-99,NA,NA,0,1,-99,-99
"1055","capital","figure",12,1,-99,-99,NA,NA,1,0,-99,-99
"1055","mill","feast",13,1,-99,-99,NA,NA,1,0,-99,-99
"1055","calf","annoy",14,1,-99,-99,NA,NA,1,0,-99,-99
"1055","bacon","feud",15,1,-99,-99,NA,NA,0,0,-99,-99
"1055","fan","feature",16,1,-99,-99,NA,NA,0,1,-99,-99
"1055","remind","foam",17,1,-99,-99,NA,NA,1,1,-99,-99
"1055","forest","knob",18,1,-99,-99,NA,NA,1,1,-99,-99
"1055","port","cinema",19,1,-99,-99,NA,NA,1,0,-99,-99
"1055","pork","emperor",20,1,-99,-99,NA,NA,1,0,-99,-99
"1055","glue","force",21,1,-99,-99,NA,NA,0,0,-99,-99
"1055","plant","worm",22,1,-99,-99,NA,NA,1,0,-99,-99
"1055","prison","loaf",23,1,-99,-99,NA,NA,1,0,-99,-99
"1055","date","laugh",24,1,-99,-99,NA,NA,1,0,-99,-99
"1055","bias","sirloin",25,1,-99,-99,NA,NA,0,1,-99,-99
"1055","pea","bathtub",26,1,-99,-99,NA,NA,0,1,-99,-99
"1055","bullet","walkway",27,1,-99,-99,NA,NA,1,1,-99,-99
"1055","grip","beach",28,1,-99,-99,NA,NA,0,1,-99,-99
"1055","chicken","beet",29,1,-99,-99,NA,NA,1,1,-99,-99
"1055","collect","loyalty",30,1,-99,-99,NA,NA,0,1,-99,-99
"1055","nerve","bumper",31,1,-99,-99,NA,NA,0,1,-99,-99
"1055","need","faucet",32,1,-99,-99,NA,NA,0,0,-99,-99
"1055","rock","milk",33,1,-99,-99,NA,NA,1,1,-99,-99
"1055","caring","skirt",34,1,-99,-99,NA,NA,0,0,-99,-99
"1055","anger","decay",35,1,-99,-99,NA,NA,1,0,-99,-99
"1055","copy","bedroom",36,1,-99,-99,NA,NA,1,1,-99,-99
"1055","find","clown",37,1,-99,-99,NA,NA,0,1,-99,-99
"1055","fee","chowder",38,1,-99,-99,NA,NA,0,0,-99,-99
"1055","visit","glove",39,1,-99,-99,NA,NA,1,0,-99,-99
"1055","biology","temper",40,1,-99,-99,NA,NA,0,0,-99,-99
"1055","risk","zero",1,2,-99,-99,NA,NA,0,1,-99,-99
"1055","bacon","feud",2,2,-99,-99,NA,NA,0,0,-99,-99
"1055","bullet","walkway",3,2,-99,-99,NA,NA,1,1,-99,-99
"1055","chicken","beet",4,2,-99,-99,NA,NA,1,1,-99,-99
"1055","visit","glove",5,2,-99,-99,NA,NA,1,0,-99,-99
"1055","date","laugh",6,2,-99,-99,NA,NA,1,0,-99,-99
"1055","climax","saucer",7,2,-99,-99,NA,NA,0,0,-99,-99
"1055","calf","annoy",8,2,-99,-99,NA,NA,1,0,-99,-99
"1055","want","ascent",9,2,-99,-99,NA,NA,0,1,-99,-99
"1055","capital","figure",10,2,-99,-99,NA,NA,1,0,-99,-99
"1055","bias","sirloin",11,2,-99,-99,NA,NA,0,1,-99,-99
"1055","find","clown",12,2,-99,-99,NA,NA,0,1,-99,-99
"1055","caring","skirt",13,2,-99,-99,NA,NA,0,0,-99,-99
"1055","anger","decay",14,2,-99,-99,NA,NA,1,0,-99,-99
"1055","need","faucet",15,2,-99,-99,NA,NA,0,0,-99,-99
"1055","bleach","ruin",16,2,-99,-99,NA,NA,1,1,-99,-99
"1055","collect","loyalty",17,2,-99,-99,NA,NA,0,1,-99,-99
"1055","nerve","bumper",18,2,-99,-99,NA,NA,0,1,-99,-99
"1055","biology","temper",19,2,-99,-99,NA,NA,0,0,-99,-99
"1055","plant","worm",20,2,-99,-99,NA,NA,1,0,-99,-99
"1055","fee","chowder",21,2,-99,-99,NA,NA,0,0,-99,-99
"1055","replace","roach",22,2,-99,-99,NA,NA,1,1,-99,-99
"1055","grip","beach",23,2,-99,-99,NA,NA,0,1,-99,-99
"1055","pork","emperor",24,2,-99,-99,NA,NA,1,0,-99,-99
"1055","fan","feature",25,2,-99,-99,NA,NA,0,1,-99,-99
"1055","glue","force",26,2,-99,-99,NA,NA,0,0,-99,-99
"1055","shrink","mafia",27,2,-99,-99,NA,NA,1,1,-99,-99
"1055","port","cinema",28,2,-99,-99,NA,NA,1,0,-99,-99
"1055","process","joker",29,2,-99,-99,NA,NA,1,1,-99,-99
"1055","link","crisis",30,2,-99,-99,NA,NA,0,1,-99,-99
"1055","forest","knob",31,2,-99,-99,NA,NA,1,1,-99,-99
"1055","mill","feast",32,2,-99,-99,NA,NA,1,0,-99,-99
"1055","banner","glide",33,2,-99,-99,NA,NA,0,0,-99,-99
"1055","smother","surgery",34,2,-99,-99,NA,NA,0,0,-99,-99
"1055","remind","foam",35,2,-99,-99,NA,NA,1,1,-99,-99
"1055","pea","bathtub",36,2,-99,-99,NA,NA,0,1,-99,-99
"1055","rock","milk",37,2,-99,-99,NA,NA,1,1,-99,-99
"1055","prison","loaf",38,2,-99,-99,NA,NA,1,0,-99,-99
"1055","copy","bedroom",39,2,-99,-99,NA,NA,1,1,-99,-99
"1055","knock","otter",40,2,-99,-99,NA,NA,0,0,-99,-99
"1055","anger","decay",1,3,52,13.313,32,0.8,1,0,0,13.139
"1055","date","laugh",2,3,67,9.719,34,0.85,1,0,0,1.797
"1055","calf","annoy",3,3,49,45.151,31,0.775,1,0,0,1.206
"1055","collect","loyalty",4,3,34,4.763,25,0.625,0,1,0,2.328
"1055","bias","sirloin",5,3,30,10.637,22,0.55,0,1,0,0.997
"1055","prison","loaf",6,3,71,7.157,35,0.875,1,0,0,1.117
"1055","mill","feast",7,3,37,4.278,29,0.725,1,0,0,2.749
"1055","grip","beach",8,3,32,12.78,24,0.6,0,1,0,1.301
"1055","link","crisis",9,3,18,2.845,11,0.275,0,1,0,1.533
"1055","want","ascent",10,3,26,9.916,19,0.475,0,1,0,1.318
"1055","capital","figure",11,3,73,4.04,36,0.9,1,0,0,0.933
"1055","risk","zero",12,3,36,3.508,27,0.675,0,1,0,1.07
"1055","port","cinema",13,3,78,5.076,38,0.95,1,0,0,1.23
"1055","visit","glove",14,3,36,3.277,28,0.7,1,0,0,0.799
"1055","nerve","bumper",15,3,22,4.171,15,0.375,0,1,0,5.869
