"subn","word1","word2","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert","restudyresp","restudyacc","restudyrtfirst","restudyrt","response","testacc","rtfirst","rt"
"1055","process","joker",1,1,25,3.415,18,0.45,1,1,1,1.566,NA,NA,NA,NA,"no",0,8.837,10.485
"1055","collect","loyalty",29,1,34,4.763,25,0.625,0,1,0,2.328,NA,NA,NA,NA,"loyalty",1,8.032,17.176
"1055","need","faucet",34,1,16,3.503,6,0.15,0,0,1,1.135,NA,NA,NA,NA,"faucet",1,5.259,8.446
"1055","capital","figure",12,1,73,4.04,36,0.9,1,0,0,0.933,NA,NA,NA,NA,"figure",1,5.079,7.606
"1055","fee","chowder",8,1,16,2.743,8,0.2,0,0,1,1.31,NA,NA,NA,NA,"chowder",1,4.766,7.694
"1055","link","crisis",18,1,18,2.845,11,0.275,0,1,0,1.533,NA,NA,NA,NA,"crisis",1,4.175,7.469
"1055","climax","saucer",37,1,15,8.309,4,0.1,0,0,1,1.39,NA,NA,NA,NA,"saucer",1,5.022,8.231
"1055","replace","roach",39,1,27,4.733,21,0.525,1,1,1,1.022,NA,NA,NA,NA,"no",0,4.441,6.08
"1055","port","cinema",28,1,78,5.076,38,0.95,1,0,0,1.23,NA,NA,NA,NA,"cinema",1,4.343,6.822
"1055","date","laugh",14,1,67,9.719,34,0.85,1,0,0,1.797,NA,NA,NA,NA,"laugh",1,2.079,4.455
"1055","chicken","beet",30,1,41,5.526,30,0.75,1,1,1,1.741,NA,NA,NA,NA,"beet",1,2.133,4.047
"1055","fan","feature",24,1,34,3.077,26,0.65,0,1,0,7.214,NA,NA,NA,NA,"feature",1,4.582,7.454
"1055","banner","glide",20,1,11,17.67,1,0.025,0,0,1,3.811,NA,NA,NA,NA,"glide",1,3.419,5.59
"1055","shrink","mafia",10,1,31,2.876,23,0.575,1,1,1,7.255,NA,NA,NA,NA,"no",0,4.671,6.215
"1055","smother","surgery",19,1,16,8.245,7,0.175,0,0,1,1.045,NA,NA,NA,NA,"surgery",1,3.207,6.055
"1055","calf","annoy",9,1,49,45.151,31,0.775,1,0,0,1.206,NA,NA,NA,NA,"no",0,4.443,6.021
"1055","prison","loaf",2,1,71,7.157,35,0.875,1,0,0,1.117,NA,NA,NA,NA,"loaf",1,1.757,5.877
"1055","want","ascent",5,1,26,9.916,19,0.475,0,1,0,1.318,NA,NA,NA,NA,"ascent",1,3.183,6.12
"1055","grip","beach",38,1,32,12.78,24,0.6,0,1,0,1.301,NA,NA,NA,NA,"beach",1,4.901,7.214
"1055","remind","foam",22,1,20,3.116,14,0.35,1,1,1,1.624,NA,NA,NA,NA,"no",0,2.454,4.126
"1055","bullet","walkway",26,1,20,12.573,13,0.325,1,1,1,1.198,NA,NA,NA,NA,"no",0,4.966,7.119
"1055","mill","feast",36,1,37,4.278,29,0.725,1,0,0,2.749,NA,NA,NA,NA,"no",0,4.474,6.383
"1055","glue","force",15,1,15,4.11,3,0.075,0,0,1,7.631,NA,NA,NA,NA,"force",1,4.932,6.973
"1055","plant","worm",21,1,79,2.814,39,0.975,1,0,0,1.06,NA,NA,NA,NA,"tree",0,10.346,12.158
"1055","forest","knob",33,1,26,4.91,20,0.5,1,1,1,3.526,NA,NA,NA,NA,"knob",1,5.541,7.694
"1055","anger","decay",23,1,52,13.313,32,0.8,1,0,0,13.139,NA,NA,NA,NA,"decay",1,2.949,5.525
"1055","biology","temper",6,1,17,3.02,10,0.25,0,0,1,8.072,NA,NA,NA,NA,"temper",1,4.397,7.421
"1055","visit","glove",25,1,36,3.277,28,0.7,1,0,0,0.799,NA,NA,NA,NA,"place",0,7.646,12.607
"1055","find","clown",27,1,16,3.376,5,0.125,0,1,0,8.109,NA,NA,NA,NA,"clown",1,3.805,6.014
"1055","pea","bathtub",7,1,22,3.991,16,0.4,0,1,0,1.604,NA,NA,NA,NA,"bathtub",1,5.057,11.924
"1055","pork","emperor",11,1,74,3.252,37,0.925,1,0,0,0.872,NA,NA,NA,NA,"no",0,3.277,4.977
"1055","bacon","feud",31,1,17,4.671,9,0.225,0,0,1,2.128,NA,NA,NA,NA,"fued",0,3.56,5.797
"1055","risk","zero",17,1,36,3.508,27,0.675,0,1,0,1.07,NA,NA,NA,NA,"zero",1,2.494,7.166
"1055","nerve","bumper",3,1,22,4.171,15,0.375,0,1,0,5.869,NA,NA,NA,NA,"no",0,6.929,8.63
"1055","bleach","ruin",4,1,100,6.454,40,1,1,1,1,1.341,NA,NA,NA,NA,"ruin",1,2.182,4.358
"1055","knock","otter",40,1,18,3.293,12,0.3,0,0,1,1.526,NA,NA,NA,NA,"otter",1,2.478,4.382
"1055","bias","sirloin",35,1,30,10.637,22,0.55,0,1,0,0.997,NA,NA,NA,NA,"sirloin",1,3.566,6.974
"1055","copy","bedroom",32,1,22,3.797,17,0.425,1,1,1,1.23,NA,NA,NA,NA,"bedroom",1,3.748,7.333
"1055","caring","skirt",13,1,11,4.035,2,0.05,0,0,1,6.829,NA,NA,NA,NA,"skirt",1,3.657,6.336
"1055","rock","milk",16,1,58,3.087,33,0.825,1,1,1,4.216,NA,NA,NA,NA,"milk",1,2.122,7.19
