"subn","word1","word2","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert","restudyresp","restudyacc","restudyrtfirst","restudyrt"
"1762","fee","chowder",1,1,1,2.717,34,0.85,0,1,0,1.095,"",NA,NA,NA
"1762","pea","bathtub",2,1,100,2.191,18,0.45,0,0,1,1.509,"",NA,NA,NA
"1762","risk","zero",3,1,1,2.913,9,0.225,1,0,0,1.157,"antler",0,NA,9.128
"1762","climax","saucer",4,1,100,2.583,11,0.275,0,0,1,1.417,"",NA,NA,NA
"1762","link","crisis",5,1,3,2.731,30,0.75,0,1,0,1.331,"",NA,NA,NA
"1762","nerve","bumper",6,1,1,2.959,25,0.625,1,1,1,1.385,"festive",0,NA,5.77
"1762","biology","temper",7,1,1,2.193,16,0.4,1,0,0,0.743,"planter",0,NA,7.237
"1762","calf","annoy",8,1,27,2.419,38,0.95,0,1,0,0.703,"",NA,NA,NA
"1762","banner","glide",9,1,1,1.963,15,0.375,1,0,0,0.837,"climb",0,NA,18.32
"1762","pork","emperor",10,1,100,2.491,35,0.875,0,0,1,1.197,"",NA,NA,NA
"1762","fan","feature",11,1,1,7.181,31,0.775,0,1,0,0.727,"",NA,NA,NA
"1762","copy","bedroom",12,1,1,2.849,19,0.475,1,0,0,0.571,"plumb",0,NA,4.837
"1762","collect","loyalty",13,1,1,3.679,13,0.325,1,1,1,0.525,"hard",0,NA,5.092
"1762","mill","feast",14,1,1,1.904,21,0.525,1,1,1,0.984,"flag",0,NA,4.614
"1762","forest","knob",15,1,1,2.371,24,0.6,1,0,0,0.979,"run",0,NA,3.947
"1762","plant","worm",16,1,23,10.558,3,0.075,0,1,0,2.786,"",NA,NA,NA
"1762","visit","glove",17,1,1,2.231,1,0.025,1,1,1,0.735,"pants",0,NA,5.887
"1762","knock","otter",18,1,1,2.107,22,0.55,1,0,0,1.128,"love",0,NA,4.315
"1762","anger","decay",19,1,100,2.765,28,0.7,0,0,1,0.679,"",NA,NA,NA
"1762","prison","loaf",20,1,1,2.231,14,0.35,1,0,0,0.971,"people",0,NA,4.449
"1762","process","joker",21,1,1,3.821,6,0.15,1,0,0,4.55,"worm",0,NA,4.276
"1762","glue","force",22,1,1,1.683,27,0.675,1,1,1,0.719,"blanket",0,NA,4.858
"1762","bias","sirloin",23,1,72,3.375,39,0.975,0,0,1,0.688,"",NA,NA,NA
"1762","shrink","mafia",24,1,1,2.199,29,0.725,0,1,0,2.177,"",NA,NA,NA
"1762","replace","roach",25,1,1,3.906,7,0.175,1,0,0,1.159,"crab",0,NA,5.143
"1762","chicken","beet",26,1,100,2.631,17,0.425,0,0,1,0.813,"",NA,NA,NA
"1762","smother","surgery",27,1,77,4.83,4,0.1,0,0,1,7.871,"",NA,NA,NA
"1762","bleach","ruin",28,1,1,3.021,12,0.3,1,1,1,2.397,"sand",0,NA,4.086
