"subn","word1","word2","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert"
"1762","bias","sirloin",1,1,-99,-99,39,0.975,0,0,-99,-99
"1762","anger","decay",2,1,-99,-99,28,0.7,0,0,-99,-99
"1762","fee","chowder",3,1,-99,-99,34,0.85,0,1,-99,-99
"1762","bleach","ruin",4,1,-99,-99,12,0.3,1,1,-99,-99
"1762","pea","bathtub",5,1,-99,-99,18,0.45,0,0,-99,-99
"1762","calf","annoy",6,1,-99,-99,38,0.95,0,1,-99,-99
"1762","date","laugh",7,1,-99,-99,23,0.575,0,0,-99,-99
"1762","forest","knob",8,1,-99,-99,24,0.6,1,0,-99,-99
"1762","port","cinema",9,1,-99,-99,5,0.125,1,1,-99,-99
"1762","bullet","walkway",10,1,-99,-99,40,1,0,1,-99,-99
"1762","nerve","bumper",11,1,-99,-99,25,0.625,1,1,-99,-99
"1762","visit","glove",12,1,-99,-99,1,0.025,1,1,-99,-99
"1762","want","ascent",13,1,-99,-99,20,0.5,1,0,-99,-99
"1762","glue","force",14,1,-99,-99,27,0.675,1,1,-99,-99
"1762","climax","saucer",15,1,-99,-99,11,0.275,0,0,-99,-99
"1762","risk","zero",16,1,-99,-99,9,0.225,1,0,-99,-99
"1762","caring","skirt",17,1,-99,-99,2,0.05,1,1,-99,-99
"1762","shrink","mafia",18,1,-99,-99,29,0.725,0,1,-99,-99
"1762","smother","surgery",19,1,-99,-99,4,0.1,0,0,-99,-99
"1762","chicken","beet",20,1,-99,-99,17,0.425,0,0,-99,-99
"1762","capital","figure",21,1,-99,-99,10,0.25,1,1,-99,-99
"1762","mill","feast",22,1,-99,-99,21,0.525,1,1,-99,-99
"1762","prison","loaf",23,1,-99,-99,14,0.35,1,0,-99,-99
"1762","find","clown",24,1,-99,-99,8,0.2,1,1,-99,-99
"1762","rock","milk",25,1,-99,-99,36,0.9,0,1,-99,-99
"1762","knock","otter",26,1,-99,-99,22,0.55,1,0,-99,-99
"1762","pork","emperor",27,1,-99,-99,35,0.875,0,0,-99,-99
"1762","process","joker",28,1,-99,-99,6,0.15,1,0,-99,-99
"1762","plant","worm",29,1,-99,-99,3,0.075,0,1,-99,-99
"1762","fan","feature",30,1,-99,-99,31,0.775,0,1,-99,-99
"1762","remind","foam",31,1,-99,-99,33,0.825,0,0,-99,-99
"1762","banner","glide",32,1,-99,-99,15,0.375,1,0,-99,-99
"1762","collect","loyalty",33,1,-99,-99,13,0.325,1,1,-99,-99
"1762","link","crisis",34,1,-99,-99,30,0.75,0,1,-99,-99
"1762","bacon","feud",35,1,-99,-99,26,0.65,0,1,-99,-99
"1762","grip","beach",36,1,-99,-99,37,0.925,0,0,-99,-99
"1762","need","faucet",37,1,-99,-99,32,0.8,0,1,-99,-99
"1762","copy","bedroom",38,1,-99,-99,19,0.475,1,0,-99,-99
"1762","biology","temper",39,1,-99,-99,16,0.4,1,0,-99,-99
"1762","replace","roach",40,1,-99,-99,7,0.175,1,0,-99,-99
"1762","calf","annoy",1,2,-99,-99,38,0.95,0,1,-99,-99
"1762","prison","loaf",2,2,-99,-99,14,0.35,1,0,-99,-99
"1762","replace","roach",3,2,-99,-99,7,0.175,1,0,-99,-99
"1762","need","faucet",4,2,-99,-99,32,0.8,0,1,-99,-99
"1762","mill","feast",5,2,-99,-99,21,0.525,1,1,-99,-99
"1762","copy","bedroom",6,2,-99,-99,19,0.475,1,0,-99,-99
"1762","bacon","feud",7,2,-99,-99,26,0.65,0,1,-99,-99
"1762","capital","figure",8,2,-99,-99,10,0.25,1,1,-99,-99
"1762","want","ascent",9,2,-99,-99,20,0.5,1,0,-99,-99
"1762","rock","milk",10,2,-99,-99,36,0.9,0,1,-99,-99
"1762","fan","feature",11,2,-99,-99,31,0.775,0,1,-99,-99
"1762","bleach","ruin",12,2,-99,-99,12,0.3,1,1,-99,-99
"1762","collect","loyalty",13,2,-99,-99,13,0.325,1,1,-99,-99
"1762","caring","skirt",14,2,-99,-99,2,0.05,1,1,-99,-99
"1762","glue","force",15,2,-99,-99,27,0.675,1,1,-99,-99
"1762","nerve","bumper",16,2,-99,-99,25,0.625,1,1,-99,-99
"1762","visit","glove",17,2,-99,-99,1,0.025,1,1,-99,-99
"1762","anger","decay",18,2,-99,-99,28,0.7,0,0,-99,-99
"1762","remind","foam",19,2,-99,-99,33,0.825,0,0,-99,-99
"1762","grip","beach",20,2,-99,-99,37,0.925,0,0,-99,-99
"1762","fee","chowder",21,2,-99,-99,34,0.85,0,1,-99,-99
"1762","pork","emperor",22,2,-99,-99,35,0.875,0,0,-99,-99
"1762","bias","sirloin",23,2,-99,-99,39,0.975,0,0,-99,-99
"1762","port","cinema",24,2,-99,-99,5,0.125,1,1,-99,-99
"1762","chicken","beet",25,2,-99,-99,17,0.425,0,0,-99,-99
"1762","forest","knob",26,2,-99,-99,24,0.6,1,0,-99,-99
"1762","pea","bathtub",27,2,-99,-99,18,0.45,0,0,-99,-99
"1762","plant","worm",28,2,-99,-99,3,0.075,0,1,-99,-99
"1762","banner","glide",29,2,-99,-99,15,0.375,1,0,-99,-99
"1762","process","joker",30,2,-99,-99,6,0.15,1,0,-99,-99
"1762","knock","otter",31,2,-99,-99,22,0.55,1,0,-99,-99
"1762","shrink","mafia",32,2,-99,-99,29,0.725,0,1,-99,-99
"1762","find","clown",33,2,-99,-99,8,0.2,1,1,-99,-99
"1762","biology","temper",34,2,-99,-99,16,0.4,1,0,-99,-99
"1762","link","crisis",35,2,-99,-99,30,0.75,0,1,-99,-99
"1762","smother","surgery",36,2,-99,-99,4,0.1,0,0,-99,-99
"1762","risk","zero",37,2,-99,-99,9,0.225,1,0,-99,-99
"1762","climax","saucer",38,2,-99,-99,11,0.275,0,0,-99,-99
"1762","date","laugh",39,2,-99,-99,23,0.575,0,0,-99,-99
"1762","bullet","walkway",40,2,-99,-99,40,1,0,1,-99,-99
"1762","plant","worm",1,3,23,10.558,3,0.075,0,1,0,2.786
"1762","smother","surgery",2,3,77,4.83,4,0.1,0,0,1,7.871
"1762","port","cinema",3,3,1,4.573,5,0.125,1,1,1,1.839
"1762","process","joker",4,3,1,3.821,6,0.15,1,0,0,4.55
"1762","replace","roach",5,3,1,3.906,7,0.175,1,0,0,1.159
"1762","risk","zero",6,3,1,2.913,9,0.225,1,0,0,1.157
"1762","capital","figure",7,3,1,2.137,10,0.25,1,1,1,0.987
"1762","climax","saucer",8,3,100,2.583,11,0.275,0,0,1,1.417
"1762","bleach","ruin",9,3,1,3.021,12,0.3,1,1,1,2.397
"1762","prison","loaf",10,3,1,2.231,14,0.35,1,0,0,0.971
"1762","banner","glide",11,3,1,1.963,15,0.375,1,0,0,0.837
"1762","biology","temper",12,3,1,2.193,16,0.4,1,0,0,0.743
"1762","pea","bathtub",13,3,100,2.191,18,0.45,0,0,1,1.509
"1762","copy","bedroom",14,3,1,2.849,19,0.475,1,0,0,0.571
"1762","want","ascent",15,3,1,2.325,20,0.5,1,0,0,0.727
"1762","knock","otter",16,3,1,2.107,22,0.55,1,0,0,1.128
"1762","date","laugh",17,3,100,2.151,23,0.575,0,0,1,1.167
"1762","forest","knob",18,3,1,2.371,24,0.6,1,0,0,0.979
"1762","bacon","feud",19,3,1,2.191,26,0.65,0,1,0,1.157
"1762","shrink","mafia",20,3,1,2.199,29,0.725,0,1,0,2.177
"1762","link","crisis",21,3,3,2.731,30,0.75,0,1,0,1.331
"1762","fan","feature",22,3,1,7.181,31,0.775,0,1,0,0.727
"1762","need","faucet",23,3,1,2.395,32,0.8,0,1,0,1.049
"1762","fee","chowder",24,3,1,2.717,34,0.85,0,1,0,1.095
"1762","pork","emperor",25,3,100,2.491,35,0.875,0,0,1,1.197
"1762","rock","milk",26,3,1,1.909,36,0.9,0,1,0,0.673
"1762","calf","annoy",27,3,27,2.419,38,0.95,0,1,0,0.703
"1762","bias","sirloin",28,3,72,3.375,39,0.975,0,0,1,0.688
"1762","bullet","walkway",29,3,1,2.255,40,1,0,1,0,0.875
"1762","mill","feast",30,3,1,1.904,21,0.525,1,1,1,0.984
"1762","visit","glove",31,3,1,2.231,1,0.025,1,1,1,0.735
"1762","glue","force",32,3,1,1.683,27,0.675,1,1,1,0.719
"1762","anger","decay",33,3,100,2.765,28,0.7,0,0,1,0.679
"1762","caring","skirt",34,3,1,2.271,2,0.05,1,1,1,0.673
"1762","find","clown",35,3,1,1.754,8,0.2,1,1,1,0.617
"1762","collect","loyalty",36,3,1,3.679,13,0.325,1,1,1,0.525
"1762","chicken","beet",37,3,100,2.631,17,0.425,0,0,1,0.813
"1762","nerve","bumper",38,3,1,2.959,25,0.625,1,1,1,1.385
"1762","remind","foam",39,3,1,2.435,33,0.825,0,0,1,0.853
"1762","grip","beach",40,3,1,2.594,37,0.925,0,0,1,0.694
"1803","copy","bedroom",1,1,-99,-99,14,0.35,1,0,-99,-99
"1803","rock","milk",2,1,-99,-99,15,0.375,0,1,-99,-99
"1803","glue","force",3,1,-99,-99,4,0.1,0,1,-99,-99
"1803","chicken","beet",4,1,-99,-99,19,0.475,0,1,-99,-99
"1803","collect","loyalty",5,1,-99,-99,35,0.875,1,0,-99,-99
"1803","fan","feature",6,1,-99,-99,40,1,0,0,-99,-99
"1803","mill","feast",7,1,-99,-99,33,0.825,1,0,-99,-99
"1803","forest","knob",8,1,-99,-99,8,0.2,0,0,-99,-99
"1803","shrink","mafia",9,1,-99,-99,27,0.675,1,0,-99,-99
"1803","bias","sirloin",10,1,-99,-99,18,0.45,1,1,-99,-99
"1803","knock","otter",11,1,-99,-99,34,0.85,1,0,-99,-99
"1803","capital","figure",12,1,-99,-99,29,0.725,1,0,-99,-99
"1803","need","faucet",13,1,-99,-99,21,0.525,0,1,-99,-99
"1803","pea","bathtub",14,1,-99,-99,23,0.575,0,0,-99,-99
"1803","find","clown",15,1,-99,-99,26,0.65,0,1,-99,-99
"1803","link","crisis",16,1,-99,-99,10,0.25,0,0,-99,-99
"1803","climax","saucer",17,1,-99,-99,24,0.6,0,1,-99,-99
"1803","date","laugh",18,1,-99,-99,25,0.625,1,1,-99,-99
"1803","process","joker",19,1,-99,-99,36,0.9,1,0,-99,-99
"1803","pork","emperor",20,1,-99,-99,7,0.175,1,1,-99,-99
"1803","bleach","ruin",21,1,-99,-99,31,0.775,1,0,-99,-99
"1803","replace","roach",22,1,-99,-99,32,0.8,1,0,-99,-99
"1803","bullet","walkway",23,1,-99,-99,28,0.7,1,1,-99,-99
"1803","plant","worm",24,1,-99,-99,20,0.5,0,0,-99,-99
"1803","smother","surgery",25,1,-99,-99,17,0.425,1,1,-99,-99
"1803","remind","foam",26,1,-99,-99,16,0.4,0,0,-99,-99
"1803","caring","skirt",27,1,-99,-99,3,0.075,0,1,-99,-99
"1803","want","ascent",28,1,-99,-99,1,0.025,0,0,-99,-99
"1803","anger","decay",29,1,-99,-99,13,0.325,1,1,-99,-99
"1803","prison","loaf",30,1,-99,-99,38,0.95,1,1,-99,-99
"1803","banner","glide",31,1,-99,-99,9,0.225,0,1,-99,-99
"1803","visit","glove",32,1,-99,-99,22,0.55,0,1,-99,-99
"1803","calf","annoy",33,1,-99,-99,11,0.275,0,0,-99,-99
"1803","bacon","feud",34,1,-99,-99,39,0.975,0,0,-99,-99
"1803","port","cinema",35,1,-99,-99,6,0.15,0,0,-99,-99
"1803","nerve","bumper",36,1,-99,-99,5,0.125,0,1,-99,-99
"1803","fee","chowder",37,1,-99,-99,37,0.925,1,0,-99,-99
"1803","biology","temper",38,1,-99,-99,30,0.75,1,1,-99,-99
"1803","grip","beach",39,1,-99,-99,12,0.3,1,1,-99,-99
"1803","risk","zero",40,1,-99,-99,2,0.05,1,1,-99,-99
"1803","find","clown",1,2,-99,-99,26,0.65,0,1,-99,-99
"1803","link","crisis",2,2,-99,-99,10,0.25,0,0,-99,-99
"1803","replace","roach",3,2,-99,-99,32,0.8,1,0,-99,-99
"1803","prison","loaf",4,2,-99,-99,38,0.95,1,1,-99,-99
"1803","bullet","walkway",5,2,-99,-99,28,0.7,1,1,-99,-99
"1803","knock","otter",6,2,-99,-99,34,0.85,1,0,-99,-99
"1803","pork","emperor",7,2,-99,-99,7,0.175,1,1,-99,-99
"1803","port","cinema",8,2,-99,-99,6,0.15,0,0,-99,-99
"1803","capital","figure",9,2,-99,-99,29,0.725,1,0,-99,-99
"1803","bacon","feud",10,2,-99,-99,39,0.975,0,0,-99,-99
"1803","grip","beach",11,2,-99,-99,12,0.3,1,1,-99,-99
"1803","fan","feature",12,2,-99,-99,40,1,0,0,-99,-99
"1803","banner","glide",13,2,-99,-99,9,0.225,0,1,-99,-99
"1803","need","faucet",14,2,-99,-99,21,0.525,0,1,-99,-99
"1803","forest","knob",15,2,-99,-99,8,0.2,0,0,-99,-99
"1803","mill","feast",16,2,-99,-99,33,0.825,1,0,-99,-99
"1803","smother","surgery",17,2,-99,-99,17,0.425,1,1,-99,-99
"1803","climax","saucer",18,2,-99,-99,24,0.6,0,1,-99,-99
"1803","pea","bathtub",19,2,-99,-99,23,0.575,0,0,-99,-99
"1803","want","ascent",20,2,-99,-99,1,0.025,0,0,-99,-99
"1803","visit","glove",21,2,-99,-99,22,0.55,0,1,-99,-99
"1803","plant","worm",22,2,-99,-99,20,0.5,0,0,-99,-99
"1803","process","joker",23,2,-99,-99,36,0.9,1,0,-99,-99
"1803","shrink","mafia",24,2,-99,-99,27,0.675,1,0,-99,-99
"1803","date","laugh",25,2,-99,-99,25,0.625,1,1,-99,-99
"1803","caring","skirt",26,2,-99,-99,3,0.075,0,1,-99,-99
"1803","anger","decay",27,2,-99,-99,13,0.325,1,1,-99,-99
"1803","bleach","ruin",28,2,-99,-99,31,0.775,1,0,-99,-99
"1803","glue","force",29,2,-99,-99,4,0.1,0,1,-99,-99
"1803","risk","zero",30,2,-99,-99,2,0.05,1,1,-99,-99
"1803","chicken","beet",31,2,-99,-99,19,0.475,0,1,-99,-99
"1803","nerve","bumper",32,2,-99,-99,5,0.125,0,1,-99,-99
"1803","calf","annoy",33,2,-99,-99,11,0.275,0,0,-99,-99
"1803","bias","sirloin",34,2,-99,-99,18,0.45,1,1,-99,-99
"1803","copy","bedroom",35,2,-99,-99,14,0.35,1,0,-99,-99
"1803","remind","foam",36,2,-99,-99,16,0.4,0,0,-99,-99
"1803","rock","milk",37,2,-99,-99,15,0.375,0,1,-99,-99
"1803","collect","loyalty",38,2,-99,-99,35,0.875,1,0,-99,-99
"1803","biology","temper",39,2,-99,-99,30,0.75,1,1,-99,-99
"1803","fee","chowder",40,2,-99,-99,37,0.925,1,0,-99,-99
"1803","risk","zero",1,3,100,20.909,2,0.05,1,1,1,8.589
"1803","caring","skirt",2,3,1,11.046,3,0.075,0,1,0,2.775
