"subn","word1","word2","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert","restudyresp","restudyacc","restudyrtfirst","restudyrt","response","testacc","rtfirst","rt"
"1762","risk","zero",3,1,1,2.913,9,0.225,1,0,0,1.157,NA,NA,NA,NA,"reward",0,6.531,8.649
"1762","anger","decay",19,1,100,2.765,28,0.7,0,0,1,0.679,NA,NA,NA,NA,"stool",0,2.586,3.37
"1762","shrink","mafia",24,1,1,2.199,29,0.725,0,1,0,2.177,NA,NA,NA,NA,"wrap",0,1.658,2.232
"1762","copy","bedroom",12,1,1,2.849,19,0.475,1,0,0,0.571,NA,NA,NA,NA,"paste",0,1.697,2.747
"1762","process","joker",21,1,1,3.821,6,0.15,1,0,0,4.55,NA,NA,NA,NA,"server",0,2.001,3.064
"1762","mill","feast",14,1,1,1.904,21,0.525,1,1,1,0.984,NA,NA,NA,NA,"meek",0,2.242,3.667
"1762","bullet","walkway",33,1,1,2.255,40,1,0,1,0,0.875,NA,NA,NA,NA,"point",0,2.121,2.805
"1762","banner","glide",9,1,1,1.963,15,0.375,1,0,0,0.837,NA,NA,NA,NA,"flag",0,2.418,3.22
"1762","forest","knob",15,1,1,2.371,24,0.6,1,0,0,0.979,NA,NA,NA,NA,"run",0,2.052,3.146
"1762","chicken","beet",26,1,100,2.631,17,0.425,0,0,1,0.813,NA,NA,NA,NA,"beet",1,3.579,4.408
"1762","glue","force",22,1,1,1.683,27,0.675,1,1,1,0.719,NA,NA,NA,NA,"page",0,3.786,4.548
"1762","remind","foam",40,1,1,2.435,33,0.825,0,0,1,0.853,NA,NA,NA,NA,"shrimp",0,2.723,4.123
"1762","pork","emperor",10,1,100,2.491,35,0.875,0,0,1,1.197,NA,NA,NA,NA,"ex..something executor",0,3.249,78.547
"1762","collect","loyalty",13,1,1,3.679,13,0.325,1,1,1,0.525,NA,NA,NA,NA,"balls",0,2.752,3.424
"1762","pea","bathtub",2,1,100,2.191,18,0.45,0,0,1,1.509,NA,NA,NA,NA,"bathtub",1,1.403,3.042
"1762","plant","worm",16,1,23,10.558,3,0.075,0,1,0,2.786,NA,NA,NA,NA,"worm",1,3.711,4.179
