word1,word2,trial,list,jol,jolrt,jolrtfirst,choice,choicert,
want,ascent,1,1,-99,-99,-99,-99,-99,
smother,surgery,2,1,-99,-99,-99,-99,-99,
caring,skirt,3,1,-99,-99,-99,-99,-99,
capital,figure,4,1,-99,-99,-99,-99,-99,
calf,annoy,5,1,-99,-99,-99,-99,-99,
climax,saucer,6,1,-99,-99,-99,-99,-99,
process,joker,7,1,-99,-99,-99,-99,-99,
collect,loyalty,8,1,-99,-99,-99,-99,-99,
date,laugh,9,1,-99,-99,-99,-99,-99,
shrink,mafia,10,1,-99,-99,-99,-99,-99,
forest,knob,11,1,-99,-99,-99,-99,-99,
replace,roach,12,1,-99,-99,-99,-99,-99,
rock,milk,13,1,-99,-99,-99,-99,-99,
pea,bathtub,14,1,-99,-99,-99,-99,-99,
plant,worm,15,1,-99,-99,-99,-99,-99,
bacon,feud,16,1,-99,-99,-99,-99,-99,
glue,force,17,1,-99,-99,-99,-99,-99,
chicken,beet,18,1,-99,-99,-99,-99,-99,
fee,chowder,19,1,-99,-99,-99,-99,-99,
anger,decay,20,1,-99,-99,-99,-99,-99,
remind,foam,21,1,-99,-99,-99,-99,-99,
need,faucet,22,1,-99,-99,-99,-99,-99,
link,crisis,23,1,-99,-99,-99,-99,-99,
risk,zero,24,1,-99,-99,-99,-99,-99,
bullet,walkway,25,1,-99,-99,-99,-99,-99,
grip,beach,26,1,-99,-99,-99,-99,-99,
find,clown,27,1,-99,-99,-99,-99,-99,
pork,emperor,28,1,-99,-99,-99,-99,-99,
bias,sirloin,29,1,-99,-99,-99,-99,-99,
banner,glide,30,1,-99,-99,-99,-99,-99,
knock,otter,31,1,-99,-99,-99,-99,-99,
bleach,ruin,32,1,-99,-99,-99,-99,-99,
prison,loaf,33,1,-99,-99,-99,-99,-99,
copy,bedroom,34,1,-99,-99,-99,-99,-99,
mill,feast,35,1,-99,-99,-99,-99,-99,
nerve,bumper,36,1,-99,-99,-99,-99,-99,
visit,glove,37,1,-99,-99,-99,-99,-99,
biology,temper,38,1,-99,-99,-99,-99,-99,
fan,feature,39,1,-99,-99,-99,-99,-99,
port,cinema,40,1,-99,-99,-99,-99,-99,
remind,foam,1,2,-99,-99,-99,-99,-99,
need,faucet,2,2,-99,-99,-99,-99,-99,
fan,feature,3,2,-99,-99,-99,-99,-99,
knock,otter,4,2,-99,-99,-99,-99,-99,
caring,skirt,5,2,-99,-99,-99,-99,-99,
capital,figure,6,2,-99,-99,-99,-99,-99,
bias,sirloin,7,2,-99,-99,-99,-99,-99,
pork,emperor,8,2,-99,-99,-99,-99,-99,
plant,worm,9,2,-99,-99,-99,-99,-99,
biology,temper,10,2,-99,-99,-99,-99,-99,
want,ascent,11,2,-99,-99,-99,-99,-99,
find,clown,12,2,-99,-99,-99,-99,-99,
banner,glide,13,2,-99,-99,-99,-99,-99,
glue,force,14,2,-99,-99,-99,-99,-99,
risk,zero,15,2,-99,-99,-99,-99,-99,
shrink,mafia,16,2,-99,-99,-99,-99,-99,
fee,chowder,17,2,-99,-99,-99,-99,-99,
replace,roach,18,2,-99,-99,-99,-99,-99,
forest,knob,19,2,-99,-99,-99,-99,-99,
chicken,beet,20,2,-99,-99,-99,-99,-99,
climax,saucer,21,2,-99,-99,-99,-99,-99,
prison,loaf,22,2,-99,-99,-99,-99,-99,
bacon,feud,23,2,-99,-99,-99,-99,-99,
link,crisis,24,2,-99,-99,-99,-99,-99,
smother,surgery,25,2,-99,-99,-99,-99,-99,
date,laugh,26,2,-99,-99,-99,-99,-99,
bleach,ruin,27,2,-99,-99,-99,-99,-99,
nerve,bumper,28,2,-99,-99,-99,-99,-99,
port,cinema,29,2,-99,-99,-99,-99,-99,
grip,beach,30,2,-99,-99,-99,-99,-99,
bullet,walkway,31,2,-99,-99,-99,-99,-99,
copy,bedroom,32,2,-99,-99,-99,-99,-99,
mill,feast,33,2,-99,-99,-99,-99,-99,
collect,loyalty,34,2,-99,-99,-99,-99,-99,
pea,bathtub,35,2,-99,-99,-99,-99,-99,
anger,decay,36,2,-99,-99,-99,-99,-99,
visit,glove,37,2,-99,-99,-99,-99,-99,
rock,milk,38,2,-99,-99,-99,-99,-99,
process,joker,39,2,-99,-99,-99,-99,-99,
calf,annoy,40,2,-99,-99,-99,-99,-99,
replace,roach,1,3,7,3.539,2.008,1,6.741,
anger,decay,2,3,18,2.878,1.599,1,0.817,
bleach,ruin,3,3,32,1.327,0.592,1,0.601,
knock,otter,4,3,57,1.515,0.656,1,0.533,
link,crisis,5,3,35,1.075,0.456,1,3.775,
climax,saucer,6,3,23,1.441,0.638,1,0.561,
pea,bathtub,7,3,22,1.125,0.482,1,0.553,
remind,foam,8,3,30,2.093,0.984,1,0.687,
calf,annoy,9,3,19,0.967,0.332,1,0.576,
banner,glide,10,3,22,1.175,0.456,1,0.679,
port,cinema,11,3,16,1.346,0.453,1,0.477,
chicken,beet,12,3,24,1.661,0.927,1,0.557,
need,faucet,13,3,25,1.551,0.763,1,0.58,
bias,sirloin,14,3,19,1.229,0.501,1,0.805,
forest,knob,15,3,21,1.225,0.477,1,0.597,
risk,zero,16,3,30,1.409,0.675,1,0.781,
capital,figure,17,3,27,2.971,0.433,1,0.515,
glue,force,18,3,32,1.418,0.648,1,0.559,
fee,chowder,19,3,32,1.151,0.481,1,0.611,
caring,skirt,20,3,35,1.719,1.002,1,0.465,
smother,surgery,21,3,36,1.917,0.531,0,1.039,
find,clown,22,3,35,1.963,0.993,0,0.961,
nerve,bumper,23,3,45,1.269,0.479,0,0.554,
biology,temper,24,3,41,1.171,0.505,0,0.545,
bullet,walkway,25,3,34,1.195,0.502,0,0.599,
process,joker,26,3,36,1.845,1.101,0,0.423,
prison,loaf,27,3,30,1.239,0.509,0,0.556,
grip,beach,28,3,33,1.465,0.451,0,0.489,
fan,feature,29,3,25,1.524,0.95,0,0.497,
bacon,feud,30,3,35,1.623,0.816,0,0.652,
collect,loyalty,31,3,37,1.065,0.403,0,0.777,
rock,milk,32,3,30,1.171,0.495,0,0.575,
visit,glove,33,3,32,1.151,0.491,0,0.511,
mill,feast,34,3,31,1.065,0.559,0,0.526,
plant,worm,35,3,21,0.965,0.419,0,0.677,
pork,emperor,36,3,26,0.927,0.428,0,0.535,
date,laugh,37,3,22,1.493,1.033,0,0.647,
shrink,mafia,38,3,28,1.039,0.527,0,0.463,
copy,bedroom,39,3,29,0.817,0.361,0,0.529,
want,ascent,40,3,27,1.033,0.485,0,0.493,

