word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
bias,sirloin,72,1.983,0.77,38,1,1,0,0,1,-,-99,-99,
forest,knob,70,1.383,0.584,14,2,1,0,0,1,-,-99,-99,
caring,skirt,61,1.519,0.649,0,3,1,1,0,0,caring,26.554,22.028,
fan,feature,61,2.119,1.106,15,4,1,1,0,0,fan,3.99,1.986,
risk,zero,75,1.511,0.631,24,5,1,0,1,0,-,-99,-99,
calf,annoy,63,2.44,1.042,19,6,1,1,1,1,calf,12.628,7.253,
copy,bedroom,35,1.598,0.801,29,7,1,1,0,0,post,4.336,1.867,
anger,decay,71,2.071,0.913,32,8,1,0,1,0,-,-99,-99,
shrink,mafia,66,2.303,0.818,23,9,1,1,1,1,shrink,13.403,6.315,
date,laugh,61,1.59,0.674,9,10,1,1,1,1,date,4.447,1.815,
banner,glide,71,1.743,0.879,3,11,1,0,0,1,-,-99,-99,
bacon,feud,61,1.863,0.746,12,12,1,1,0,0,bacon,5.275,1.78,
smother,surgery,69,1.607,0.714,28,13,1,0,0,1,-,-99,-99,
replace,roach,68,1.471,0.706,35,14,1,0,0,1,-,-99,-99,
process,joker,71,1.791,0.85,21,15,1,0,1,0,-,-99,-99,
port,cinema,65,1.486,0.655,5,16,1,0,0,1,-,-99,-99,
glue,force,68,1.967,0.658,39,17,1,0,1,0,-,-99,-99,
chicken,beet,77,1.615,0.595,13,18,1,0,0,1,-,-99,-99,
fee,chowder,31,2.031,0.855,22,19,1,1,0,0,fee,7.518,4.246,
capital,figure,65,1.759,0.706,20,20,1,1,0,0,capital,7.175,2.38,
nerve,bumper,63,1.583,0.609,25,21,1,1,0,0,nerve,7.382,1.799,
find,clown,38,2.151,0.889,6,22,1,1,1,1,find,4.712,1.753,
rock,milk,68,1.934,0.625,8,23,1,0,1,0,-,-99,-99,
grip,beach,73,1.895,0.906,7,24,1,0,1,0,-,-99,-99,
pea,bathtub,69,1.671,0.666,4,25,1,0,1,0,-,-99,-99,
knock,otter,70,1.647,0.815,34,26,1,0,1,0,-,-99,-99,
visit,glove,67,1.534,0.503,33,27,1,0,0,1,-,-99,-99,
remind,foam,67,1.221,0.506,2,28,1,0,0,1,-,-99,-99,
pork,emperor,80,3.594,2.279,27,29,1,0,1,0,-,-99,-99,
prison,loaf,66,2.047,0.777,37,30,1,1,1,1,prison,10.371,2.263,
climax,saucer,32,3.014,1.977,1,31,1,1,1,1,climax,9.016,1.931,
link,crisis,74,1.807,0.873,17,32,1,0,1,0,-,-99,-99,
biology,temper,39,3.005,1.253,36,33,1,1,1,1,biology,8.957,2.096,
need,faucet,62,1.359,0.495,11,34,1,1,0,0,need,5.696,3.275,
mill,feast,62,3.84,1.488,26,35,1,1,1,1,mill,4.447,2.258,
bleach,ruin,35,2.08,0.923,16,36,1,1,0,0,bleach,8.974,2.426,
plant,worm,64,1.983,0.826,18,37,1,1,1,1,plant,6.143,1.928,
collect,loyalty,67,2.174,0.858,30,38,1,1,1,1,collect,6.839,2.202,
bullet,walkway,69,1.446,0.578,31,39,1,0,0,1,-,-99,-99,
want,ascent,44,1.671,0.738,10,40,1,1,0,0,want,5.142,2.835,
risk,zero,75,1.511,0.631,24,1,2,0,1,0,-,-99,-99,
climax,saucer,32,3.014,1.977,1,2,2,1,1,1,climax,16.956,13.772,
grip,beach,73,1.895,0.906,7,3,2,0,1,0,-,-99,-99,
plant,worm,64,1.983,0.826,18,4,2,1,1,1,plant,5.564,1.982,
biology,temper,39,3.005,1.253,36,5,2,1,1,1,biology,9.958,2.255,
bullet,walkway,69,1.446,0.578,31,6,2,0,0,1,-,-99,-99,
link,crisis,74,1.807,0.873,17,7,2,0,1,0,-,-99,-99,
need,faucet,62,1.359,0.495,11,8,2,1,0,0,need,4.632,2.017,
port,cinema,65,1.486,0.655,5,9,2,0,0,1,-,-99,-99,
fee,chowder,31,2.031,0.855,22,10,2,1,0,0,fee,4.653,2.92,
prison,loaf,66,2.047,0.777,37,11,2,1,1,1,prison,8.583,2.943,
pork,emperor,80,3.594,2.279,27,12,2,0,1,0,-,-99,-99,
visit,glove,67,1.534,0.503,33,13,2,0,0,1,-,-99,-99,
glue,force,68,1.967,0.658,39,14,2,0,1,0,-,-99,-99,
knock,otter,70,1.647,0.815,34,15,2,0,1,0,-,-99,-99,
bleach,ruin,35,2.08,0.923,16,16,2,1,0,0,bleach,7.792,1.787,
anger,decay,71,2.071,0.913,32,17,2,0,1,0,-,-99,-99,
forest,knob,70,1.383,0.584,14,18,2,0,0,1,-,-99,-99,
collect,loyalty,67,2.174,0.858,30,19,2,1,1,1,collet,6.607,2.767,
fan,feature,61,2.119,1.106,15,20,2,1,0,0,fan,5.2,2.355,
want,ascent,44,1.671,0.738,10,21,2,1,0,0,want,5.527,1.611,
copy,bedroom,35,1.598,0.801,29,22,2,1,0,0,copy,4.694,1.93,
chicken,beet,77,1.615,0.595,13,23,2,0,0,1,-,-99,-99,
smother,surgery,69,1.607,0.714,28,24,2,0,0,1,-,-99,-99,
banner,glide,71,1.743,0.879,3,25,2,0,0,1,-,-99,-99,
process,joker,71,1.791,0.85,21,26,2,0,1,0,-,-99,-99,
caring,skirt,61,1.519,0.649,0,27,2,1,0,0,caring,7.211,2.708,
capital,figure,65,1.759,0.706,20,28,2,1,0,0,capital,8.087,2.327,
bacon,feud,61,1.863,0.746,12,29,2,1,0,0,bacon,8.294,2.698,
mill,feast,62,3.84,1.488,26,30,2,1,1,1,mill,4.36,1.689,
find,clown,38,2.151,0.889,6,31,2,1,1,1,find,5.727,3.083,
bias,sirloin,72,1.983,0.77,38,32,2,0,0,1,-,-99,-99,
nerve,bumper,63,1.583,0.609,25,33,2,1,0,0,nerve,10.086,2.649,
shrink,mafia,66,2.303,0.818,23,34,2,1,1,1,shrink,7.894,2.457,
remind,foam,67,1.221,0.506,2,35,2,0,0,1,-,-99,-99,
date,laugh,61,1.59,0.674,9,36,2,1,1,1,date,4.797,1.91,
replace,roach,68,1.471,0.706,35,37,2,0,0,1,-,-99,-99,
calf,annoy,63,2.44,1.042,19,38,2,1,1,1,calf,8.028,2.077,
rock,milk,68,1.934,0.625,8,39,2,0,1,0,-,-99,-99,
pea,bathtub,69,1.671,0.666,4,40,2,0,1,0,-,-99,-99,
glue,force,68,1.967,0.658,39,1,3,0,1,0,-,-99,-99,
process,joker,71,1.791,0.85,21,2,3,0,1,0,-,-99,-99,
fan,feature,61,2.119,1.106,15,3,3,1,0,0,fan,5.622,1.993,
banner,glide,71,1.743,0.879,3,4,3,0,0,1,-,-99,-99,
visit,glove,67,1.534,0.503,33,5,3,0,0,1,-,-99,-99,
bleach,ruin,35,2.08,0.923,16,6,3,1,0,0,bleach,9.745,4.638,
prison,loaf,66,2.047,0.777,37,7,3,1,1,1,prison,6.999,2.608,
rock,milk,68,1.934,0.625,8,8,3,0,1,0,-,-99,-99,
copy,bedroom,35,1.598,0.801,29,9,3,1,0,0,copy,5.804,1.687,
nerve,bumper,63,1.583,0.609,25,10,3,1,0,0,nerve,6.351,1.791,
anger,decay,71,2.071,0.913,32,11,3,0,1,0,-,-99,-99,
want,ascent,44,1.671,0.738,10,12,3,1,0,0,want,3.859,1.71,
bacon,feud,61,1.863,0.746,12,13,3,1,0,0,bacon,5.078,1.575,
climax,saucer,32,3.014,1.977,1,14,3,1,1,1,climax,7.92,2.091,
caring,skirt,61,1.519,0.649,0,15,3,1,0,0,caring,8.296,2.059,
biology,temper,39,3.005,1.253,36,16,3,1,1,1,biology,10.56,2.923,
mill,feast,62,3.84,1.488,26,17,3,1,1,1,rock,5.158,2.347,
