word1,word2,trial,list,jol,jolrt,jolrtfirst,choice,choicert,
smother,surgery,1,1,-99,-99,-99,-99,-99,
biology,temper,2,1,-99,-99,-99,-99,-99,
forest,knob,3,1,-99,-99,-99,-99,-99,
port,cinema,4,1,-99,-99,-99,-99,-99,
pea,bathtub,5,1,-99,-99,-99,-99,-99,
knock,otter,6,1,-99,-99,-99,-99,-99,
need,faucet,7,1,-99,-99,-99,-99,-99,
remind,foam,8,1,-99,-99,-99,-99,-99,
find,clown,9,1,-99,-99,-99,-99,-99,
prison,loaf,10,1,-99,-99,-99,-99,-99,
process,joker,11,1,-99,-99,-99,-99,-99,
banner,glide,12,1,-99,-99,-99,-99,-99,
copy,bedroom,13,1,-99,-99,-99,-99,-99,
fan,feature,14,1,-99,-99,-99,-99,-99,
bias,sirloin,15,1,-99,-99,-99,-99,-99,
rock,milk,16,1,-99,-99,-99,-99,-99,
climax,saucer,17,1,-99,-99,-99,-99,-99,
anger,decay,18,1,-99,-99,-99,-99,-99,
visit,glove,19,1,-99,-99,-99,-99,-99,
nerve,bumper,20,1,-99,-99,-99,-99,-99,
plant,worm,21,1,-99,-99,-99,-99,-99,
bleach,ruin,22,1,-99,-99,-99,-99,-99,
grip,beach,23,1,-99,-99,-99,-99,-99,
capital,figure,24,1,-99,-99,-99,-99,-99,
want,ascent,25,1,-99,-99,-99,-99,-99,
pork,emperor,26,1,-99,-99,-99,-99,-99,
collect,loyalty,27,1,-99,-99,-99,-99,-99,
calf,annoy,28,1,-99,-99,-99,-99,-99,
glue,force,29,1,-99,-99,-99,-99,-99,
shrink,mafia,30,1,-99,-99,-99,-99,-99,
bacon,feud,31,1,-99,-99,-99,-99,-99,
bullet,walkway,32,1,-99,-99,-99,-99,-99,
date,laugh,33,1,-99,-99,-99,-99,-99,
fee,chowder,34,1,-99,-99,-99,-99,-99,
risk,zero,35,1,-99,-99,-99,-99,-99,
replace,roach,36,1,-99,-99,-99,-99,-99,
caring,skirt,37,1,-99,-99,-99,-99,-99,
link,crisis,38,1,-99,-99,-99,-99,-99,
chicken,beet,39,1,-99,-99,-99,-99,-99,
mill,feast,40,1,-99,-99,-99,-99,-99,
knock,otter,1,2,-99,-99,-99,-99,-99,
caring,skirt,2,2,-99,-99,-99,-99,-99,
pea,bathtub,3,2,-99,-99,-99,-99,-99,
pork,emperor,4,2,-99,-99,-99,-99,-99,
forest,knob,5,2,-99,-99,-99,-99,-99,
nerve,bumper,6,2,-99,-99,-99,-99,-99,
need,faucet,7,2,-99,-99,-99,-99,-99,
mill,feast,8,2,-99,-99,-99,-99,-99,
want,ascent,9,2,-99,-99,-99,-99,-99,
date,laugh,10,2,-99,-99,-99,-99,-99,
replace,roach,11,2,-99,-99,-99,-99,-99,
climax,saucer,12,2,-99,-99,-99,-99,-99,
capital,figure,13,2,-99,-99,-99,-99,-99,
banner,glide,14,2,-99,-99,-99,-99,-99,
bullet,walkway,15,2,-99,-99,-99,-99,-99,
bias,sirloin,16,2,-99,-99,-99,-99,-99,
calf,annoy,17,2,-99,-99,-99,-99,-99,
prison,loaf,18,2,-99,-99,-99,-99,-99,
collect,loyalty,19,2,-99,-99,-99,-99,-99,
link,crisis,20,2,-99,-99,-99,-99,-99,
bacon,feud,21,2,-99,-99,-99,-99,-99,
chicken,beet,22,2,-99,-99,-99,-99,-99,
plant,worm,23,2,-99,-99,-99,-99,-99,
rock,milk,24,2,-99,-99,-99,-99,-99,
remind,foam,25,2,-99,-99,-99,-99,-99,
visit,glove,26,2,-99,-99,-99,-99,-99,
shrink,mafia,27,2,-99,-99,-99,-99,-99,
smother,surgery,28,2,-99,-99,-99,-99,-99,
port,cinema,29,2,-99,-99,-99,-99,-99,
grip,beach,30,2,-99,-99,-99,-99,-99,
process,joker,31,2,-99,-99,-99,-99,-99,
bleach,ruin,32,2,-99,-99,-99,-99,-99,
anger,decay,33,2,-99,-99,-99,-99,-99,
copy,bedroom,34,2,-99,-99,-99,-99,-99,
find,clown,35,2,-99,-99,-99,-99,-99,
fan,feature,36,2,-99,-99,-99,-99,-99,
biology,temper,37,2,-99,-99,-99,-99,-99,
risk,zero,38,2,-99,-99,-99,-99,-99,
fee,chowder,39,2,-99,-99,-99,-99,-99,
glue,force,40,2,-99,-99,-99,-99,-99,
shrink,mafia,1,3,32,13.733,9.186,1,13.145,
capital,figure,2,3,20,10.969,8.508,1,5.813,
find,clown,3,3,22,12.265,6.942,1,2.002,
