"subn","word1","word2","points","value","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert","restudyresp","restudyacc","restudyrtfirst","restudyrt"
"1018","process","joker",10,1,1,1,73,1.863,7,0.194444444444444,0,0,1,0.996,"",NA,NA,NA
"1018","grip","beach",12,1,2,1,27,1.918,10,0.277777777777778,1,0,0,1.04,"beach",1,NA,4.086
"1018","visit","glove",2,0,3,1,24,2.012,24,0.666666666666667,1,0,0,1.225,"glove",1,NA,4.967
"1018","bias","sirloin",1,0,4,1,11,2.288,15,0.416666666666667,1,0,0,0.989,"?",0,NA,12.58
"1018","copy","bedroom",3,0,5,1,1,3.808,1,0.0277777777777778,0,0,1,-99,"",NA,NA,NA
"1018","anger","decay",1,0,6,1,21,1.717,18,0.5,1,0,0,1.751,"decay",1,NA,5.78
"1018","glue","force",11,1,7,1,74,1.639,5,0.138888888888889,0,0,1,2.859,"",NA,NA,NA
"1018","bullet","walkway",11,1,8,1,63,2.661,6,0.166666666666667,0,0,1,1.021,"",NA,NA,NA
"1018","port","cinema",2,0,9,1,23,2.397,22,0.611111111111111,1,0,0,0.848,"cinema",1,NA,3.957
"1018","replace","roach",11,1,10,1,74,2.15,36,1,1,0,0,0.981,"roach",1,NA,2.725
"1018","climax","saucer",11,1,11,1,15,1.994,34,0.944444444444444,1,0,0,1.505,"?",0,NA,10.667
"1018","plant","worm",1,0,12,1,86,1.733,23,0.638888888888889,0,0,1,2.189,"",NA,NA,NA
"1018","biology","temper",2,0,13,1,12,2.204,16,0.444444444444444,1,0,0,1.095,"?",0,NA,9.781
"1018","smother","surgery",3,0,14,1,20,2.03,20,0.555555555555556,1,0,0,1.323,"surgery",1,NA,2.977
"1018","bleach","ruin",10,1,15,1,67,2.887,2,0.0555555555555556,0,0,1,3.886,"",NA,NA,NA
"1018","shrink","mafia",10,1,16,1,74,1.573,30,0.833333333333333,0,0,1,1.105,"",NA,NA,NA
"1018","want","ascent",10,1,17,1,19,1.661,32,0.888888888888889,1,0,0,0.998,"?",0,NA,8.934
"1018","nerve","bumper",11,1,18,1,26,1.471,9,0.25,1,0,0,0.957,"?",0,NA,5.228
"1018","link","crisis",12,1,19,1,75,2.713,12,0.333333333333333,0,0,1,0.896,"",NA,NA,NA
"1018","knock","otter",12,1,20,1,76,1.539,31,0.861111111111111,0,0,1,1.508,"",NA,NA,NA
"1018","bacon","feud",3,0,21,1,24,1.489,33,0.916666666666667,1,0,0,0.89,"feud",1,NA,3.079
"1018","need","faucet",11,1,22,1,75,1.711,17,0.472222222222222,0,0,1,1.001,"",NA,NA,NA
"1018","remind","foam",2,0,23,1,1,2.987,4,0.111111111111111,1,0,0,7.37,"?",0,NA,4.867
"1018","rock","milk",10,1,24,1,71,2.086,25,0.694444444444444,0,0,1,0.85,"",NA,NA,NA
"1018","chicken","beet",1,0,25,1,65,1.664,13,0.361111111111111,0,0,1,1.281,"",NA,NA,NA
"1018","caring","skirt",1,0,26,1,14,1.666,14,0.388888888888889,1,0,0,1.005,"skirt",1,NA,3.141
"1018","pork","emperor",10,1,27,1,79,1.453,19,0.527777777777778,0,0,1,1.226,"",NA,NA,NA
"1018","fan","feature",1,0,28,1,83,1.667,8,0.222222222222222,0,0,1,1.191,"",NA,NA,NA
"1018","mill","feast",12,1,29,1,68,1.804,27,0.75,0,0,1,1.046,"",NA,NA,NA
