"subn","word1","word2","points","value","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert"
"1018","bleach","ruin",10,1,1,1,1,5.801,NA,NA,0,0,-99,-99
"1018","shrink","mafia",10,1,2,1,1,3.472,NA,NA,0,0,-99,-99
"1018","pea","bathtub",12,1,3,1,23,3.256,NA,NA,1,0,-99,-99
"1018","fee","chowder",3,0,4,1,1,6.111,NA,NA,1,0,-99,-99
"1018","port","cinema",2,0,5,1,1,2.552,NA,NA,1,0,-99,-99
"1018","link","crisis",12,1,6,1,69,3.138,NA,NA,0,0,-99,-99
"1018","biology","temper",2,0,7,1,62,2.7,NA,NA,1,0,-99,-99
"1018","smother","surgery",3,0,8,1,1,2.812,NA,NA,1,0,-99,-99
"1018","date","laugh",12,1,9,1,75,2.902,NA,NA,0,0,-99,-99
"1018","anger","decay",1,0,10,1,1,2.661,NA,NA,1,0,-99,-99
"1018","pork","emperor",10,1,11,1,1,2.674,NA,NA,0,0,-99,-99
"1018","capital","figure",3,0,12,1,1,2.828,NA,NA,1,0,-99,-99
"1018","bacon","feud",3,0,13,1,1,2.318,NA,NA,1,0,-99,-99
"1018","grip","beach",12,1,14,1,72,2.656,NA,NA,1,0,-99,-99
"1018","remind","foam",2,0,15,1,1,2.438,NA,NA,1,0,-99,-99
"1018","visit","glove",2,0,16,1,1,2.897,NA,NA,1,0,-99,-99
"1018","replace","roach",11,1,17,1,74,3.19,NA,NA,1,0,-99,-99
"1018","caring","skirt",1,0,18,1,1,2.166,NA,NA,1,0,-99,-99
"1018","bullet","walkway",11,1,19,1,74,3.96,NA,NA,0,0,-99,-99
"1018","want","ascent",10,1,20,1,22,3.842,NA,NA,1,0,-99,-99
"1018","fan","feature",1,0,21,1,58,2.161,NA,NA,0,0,-99,-99
"1018","calf","annoy",2,0,22,1,1,2.456,NA,NA,0,0,-99,-99
"1018","rock","milk",10,1,23,1,77,3.006,NA,NA,0,0,-99,-99
"1018","nerve","bumper",11,1,24,1,70,3.771,NA,NA,1,0,-99,-99
"1018","glue","force",11,1,25,1,65,3.042,NA,NA,0,0,-99,-99
"1018","knock","otter",12,1,26,1,73,3.777,NA,NA,0,0,-99,-99
"1018","copy","bedroom",3,0,27,1,1,2.349,NA,NA,0,0,-99,-99
"1018","chicken","beet",1,0,28,1,64,2.356,NA,NA,0,0,-99,-99
"1018","process","joker",10,1,29,1,29,3.116,NA,NA,0,0,-99,-99
"1018","mill","feast",12,1,30,1,27,2.981,NA,NA,0,0,-99,-99
"1018","plant","worm",1,0,31,1,78,2.861,NA,NA,0,0,-99,-99
"1018","climax","saucer",11,1,32,1,12,2.667,NA,NA,1,0,-99,-99
"1018","need","faucet",11,1,33,1,1,2.176,NA,NA,0,0,-99,-99
"1018","prison","loaf",3,0,34,1,8,2.598,NA,NA,0,0,-99,-99
"1018","find","clown",2,0,35,1,1,2.06,NA,NA,1,0,-99,-99
"1018","bias","sirloin",1,0,36,1,1,1.797,NA,NA,1,0,-99,-99
"1018","caring","skirt",1,0,1,2,1,4.276,NA,NA,1,0,-99,-99
"1018","remind","foam",2,0,2,2,1,1.927,NA,NA,1,0,-99,-99
"1018","pea","bathtub",12,1,3,2,20,4.987,NA,NA,1,0,-99,-99
"1018","rock","milk",10,1,4,2,26,2.589,NA,NA,0,0,-99,-99
"1018","bacon","feud",3,0,5,2,1,2.072,NA,NA,1,0,-99,-99
"1018","chicken","beet",1,0,6,2,64,1.959,NA,NA,0,0,-99,-99
"1018","grip","beach",12,1,7,2,75,1.917,NA,NA,1,0,-99,-99
"1018","fan","feature",1,0,8,2,89,2.368,NA,NA,0,0,-99,-99
"1018","need","faucet",11,1,9,2,21,1.879,NA,NA,0,0,-99,-99
"1018","calf","annoy",2,0,10,2,2,1.974,NA,NA,0,0,-99,-99
"1018","visit","glove",2,0,11,2,1,1.798,NA,NA,1,0,-99,-99
"1018","want","ascent",10,1,12,2,11,1.988,NA,NA,1,0,-99,-99
"1018","knock","otter",12,1,13,2,78,1.869,NA,NA,0,0,-99,-99
"1018","mill","feast",12,1,14,2,29,2.217,NA,NA,0,0,-99,-99
"1018","climax","saucer",11,1,15,2,69,1.743,NA,NA,1,0,-99,-99
"1018","bleach","ruin",10,1,16,2,70,1.889,NA,NA,0,0,-99,-99
"1018","plant","worm",1,0,17,2,91,1.622,NA,NA,0,0,-99,-99
"1018","anger","decay",1,0,18,2,1,1.645,NA,NA,1,0,-99,-99
"1018","biology","temper",2,0,19,2,6,1.719,NA,NA,1,0,-99,-99
"1018","pork","emperor",10,1,20,2,26,1.787,NA,NA,0,0,-99,-99
"1018","capital","figure",3,0,21,2,18,2.111,NA,NA,1,0,-99,-99
"1018","prison","loaf",3,0,22,2,61,1.595,NA,NA,0,0,-99,-99
"1018","find","clown",2,0,23,2,1,2.472,NA,NA,1,0,-99,-99
"1018","bullet","walkway",11,1,24,2,25,1.932,NA,NA,0,0,-99,-99
"1018","fee","chowder",3,0,25,2,1,2.122,NA,NA,1,0,-99,-99
"1018","date","laugh",12,1,26,2,66,1.701,NA,NA,0,0,-99,-99
"1018","glue","force",11,1,27,2,58,1.804,NA,NA,0,0,-99,-99
"1018","shrink","mafia",10,1,28,2,64,1.73,NA,NA,0,0,-99,-99
"1018","link","crisis",12,1,29,2,79,1.615,NA,NA,0,0,-99,-99
"1018","smother","surgery",3,0,30,2,21,1.565,NA,NA,1,0,-99,-99
"1018","replace","roach",11,1,31,2,79,1.954,NA,NA,1,0,-99,-99
"1018","copy","bedroom",3,0,32,2,1,2.068,NA,NA,0,0,-99,-99
"1018","nerve","bumper",11,1,33,2,20,1.821,NA,NA,1,0,-99,-99
"1018","port","cinema",2,0,34,2,3,1.616,NA,NA,1,0,-99,-99
"1018","process","joker",10,1,35,2,6,2.201,NA,NA,0,0,-99,-99
"1018","bias","sirloin",1,0,36,2,1,1.552,NA,NA,1,0,-99,-99
"1018","copy","bedroom",3,0,1,3,1,3.808,1,0.0277777777777778,0,0,1,-99
"1018","bleach","ruin",10,1,2,3,67,2.887,2,0.0555555555555556,0,0,1,3.886
"1018","find","clown",2,0,3,3,1,2.03,3,0.0833333333333333,1,0,0,3.514
"1018","remind","foam",2,0,4,3,1,2.987,4,0.111111111111111,1,0,0,7.37
"1018","glue","force",11,1,5,3,74,1.639,5,0.138888888888889,0,0,1,2.859
"1018","bullet","walkway",11,1,6,3,63,2.661,6,0.166666666666667,0,0,1,1.021
"1018","process","joker",10,1,7,3,73,1.863,7,0.194444444444444,0,0,1,0.996
"1018","fan","feature",1,0,8,3,83,1.667,8,0.222222222222222,0,0,1,1.191
"1018","nerve","bumper",11,1,9,3,26,1.471,9,0.25,1,0,0,0.957
"1018","grip","beach",12,1,10,3,27,1.918,10,0.277777777777778,1,0,0,1.04
"1018","calf","annoy",2,0,11,3,71,1.512,11,0.305555555555556,0,0,1,0.987
"1018","link","crisis",12,1,12,3,75,2.713,12,0.333333333333333,0,0,1,0.896
"1018","chicken","beet",1,0,13,3,65,1.664,13,0.361111111111111,0,0,1,1.281
"1018","caring","skirt",1,0,14,3,14,1.666,14,0.388888888888889,1,0,0,1.005
"1018","bias","sirloin",1,0,15,3,11,2.288,15,0.416666666666667,1,0,0,0.989
"1018","biology","temper",2,0,16,3,12,2.204,16,0.444444444444444,1,0,0,1.095
"1018","need","faucet",11,1,17,3,75,1.711,17,0.472222222222222,0,0,1,1.001
"1018","anger","decay",1,0,18,3,21,1.717,18,0.5,1,0,0,1.751
"1018","pork","emperor",10,1,19,3,79,1.453,19,0.527777777777778,0,0,1,1.226
"1018","smother","surgery",3,0,20,3,20,2.03,20,0.555555555555556,1,0,0,1.323
"1018","pea","bathtub",12,1,21,3,24,2.415,21,0.583333333333333,1,0,0,1.177
"1018","port","cinema",2,0,22,3,23,2.397,22,0.611111111111111,1,0,0,0.848
"1018","plant","worm",1,0,23,3,86,1.733,23,0.638888888888889,0,0,1,2.189
"1018","visit","glove",2,0,24,3,24,2.012,24,0.666666666666667,1,0,0,1.225
"1018","rock","milk",10,1,25,3,71,2.086,25,0.694444444444444,0,0,1,0.85
"1018","date","laugh",12,1,26,3,75,1.878,26,0.722222222222222,0,0,1,0.824
"1018","mill","feast",12,1,27,3,68,1.804,27,0.75,0,0,1,1.046
"1018","prison","loaf",3,0,28,3,65,1.499,28,0.777777777777778,0,0,1,1.54
"1018","capital","figure",3,0,29,3,25,1.961,29,0.805555555555556,1,0,0,1.661
"1018","shrink","mafia",10,1,30,3,74,1.573,30,0.833333333333333,0,0,1,1.105
"1018","knock","otter",12,1,31,3,76,1.539,31,0.861111111111111,0,0,1,1.508
"1018","want","ascent",10,1,32,3,19,1.661,32,0.888888888888889,1,0,0,0.998
"1018","bacon","feud",3,0,33,3,24,1.489,33,0.916666666666667,1,0,0,0.89
"1018","climax","saucer",11,1,34,3,15,1.994,34,0.944444444444444,1,0,0,1.505
"1018","fee","chowder",3,0,35,3,25,1.736,35,0.972222222222222,1,0,0,0.815
"1018","replace","roach",11,1,36,3,74,2.15,36,1,1,0,0,0.981
"1155","glue","force",11,1,1,1,93,4.141,NA,NA,0,1,-99,-99
"1155","pea","bathtub",12,1,2,1,89,14.333,NA,NA,1,1,-99,-99
"1155","plant","worm",1,0,3,1,100,6.955,NA,NA,0,1,-99,-99
"1155","visit","glove",2,0,4,1,68,4.914,NA,NA,1,1,-99,-99
"1155","prison","loaf",3,0,5,1,74,5.818,NA,NA,1,1,-99,-99
"1155","mill","feast",12,1,6,1,73,5.369,NA,NA,0,1,-99,-99
"1155","anger","decay",1,0,7,1,100,5.233,NA,NA,1,1,-99,-99
"1155","fee","chowder",3,0,8,1,60,4.732,NA,NA,0,1,-99,-99
"1155","find","clown",2,0,9,1,68,4.907,NA,NA,0,1,-99,-99
"1155","port","cinema",2,0,10,1,62,5.083,NA,NA,0,1,-99,-99
"1155","chicken","beet",1,0,11,1,84,6.387,NA,NA,1,1,-99,-99
"1155","copy","bedroom",3,0,12,1,43,7.41,NA,NA,0,1,-99,-99
"1155","nerve","bumper",11,1,13,1,32,5.53,NA,NA,1,1,-99,-99
"1155","bullet","walkway",11,1,14,1,59,7.739,NA,NA,1,1,-99,-99
"1155","grip","beach",12,1,15,1,62,8.37,NA,NA,1,1,-99,-99
"1155","remind","foam",2,0,16,1,39,6.011,NA,NA,0,1,-99,-99
"1155","bleach","ruin",10,1,17,1,60,11.436,NA,NA,1,1,-99,-99
"1155","link","crisis",12,1,18,1,70,11.755,NA,NA,0,1,-99,-99
"1155","biology","temper",2,0,19,1,63,7.771,NA,NA,0,1,-99,-99
"1155","fan","feature",1,0,20,1,62,5.29,NA,NA,1,1,-99,-99
"1155","replace","roach",11,1,21,1,62,3.906,NA,NA,0,1,-99,-99
"1155","bacon","feud",3,0,22,1,37,14.395,NA,NA,1,1,-99,-99
"1155","caring","skirt",1,0,23,1,43,3.473,NA,NA,1,1,-99,-99
"1155","smother","surgery",3,0,24,1,40,2.275,NA,NA,1,1,-99,-99
"1155","climax","saucer",11,1,25,1,36,2.5,NA,NA,0,1,-99,-99
"1155","rock","milk",10,1,26,1,43,6.051,NA,NA,1,1,-99,-99
"1155","calf","annoy",2,0,27,1,27,7.508,NA,NA,0,1,-99,-99
"1155","process","joker",10,1,28,1,35,9.122,NA,NA,0,1,-99,-99
"1155","need","faucet",11,1,29,1,68,5.529,NA,NA,1,1,-99,-99
"1155","knock","otter",12,1,30,1,31,7.371,NA,NA,1,1,-99,-99
"1155","bias","sirloin",1,0,31,1,34,6.122,NA,NA,0,1,-99,-99
"1155","shrink","mafia",10,1,32,1,33,7.011,NA,NA,1,1,-99,-99
"1155","want","ascent",10,1,33,1,23,3.85,NA,NA,1,1,-99,-99
"1155","capital","figure",3,0,34,1,29,3.49,NA,NA,0,1,-99,-99
"1155","date","laugh",12,1,35,1,43,7.707,NA,NA,0,1,-99,-99
"1155","pork","emperor",10,1,36,1,72,2.953,NA,NA,0,1,-99,-99
