"subn","word1","word2","points","value","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert","restudyresp","restudyacc","restudyrtfirst","restudyrt","response","testacc","rtfirst","rt"
"1018","knock","otter",12,1,20,1,76,1.539,31,0.861111111111111,0,0,1,1.508,"",NA,NA,NA,"otter",1,4.222,"6.033"
"1018","anger","decay",1,0,6,1,21,1.717,18,0.5,1,0,0,1.751,"decay",1,NA,5.78,"decay",1,3.3,"4.85"
"1018","plant","worm",1,0,12,1,86,1.733,23,0.638888888888889,0,0,1,2.189,"",NA,NA,NA,"worm",1,2.488,"3.656"
"1018","fan","feature",1,0,28,1,83,1.667,8,0.222222222222222,0,0,1,1.191,"",NA,NA,NA,"feature",1,3.967,"9.436"
"1018","want","ascent",10,1,17,1,19,1.661,32,0.888888888888889,1,0,0,0.998,"?",0,NA,8.934,"?",0,5.771,"6.589"
"1018","port","cinema",2,0,9,1,23,2.397,22,0.611111111111111,1,0,0,0.848,"cinema",1,NA,3.957,"?",0,6.708,"7.474"
"1018","pea","bathtub",12,1,36,1,24,2.415,21,0.583333333333333,1,0,0,1.177,"bathtub",1,NA,3.966,"bathtub",1,1.729,"3.353"
"1018","grip","beach",12,1,2,1,27,1.918,10,0.277777777777778,1,0,0,1.04,"beach",1,NA,4.086,"beach",1,20.781,"22.086"
"1018","caring","skirt",1,0,26,1,14,1.666,14,0.388888888888889,1,0,0,1.005,"skirt",1,NA,3.141,"skirt",1,2.319,"5.681"
"1018","find","clown",2,0,32,1,1,2.03,3,0.0833333333333333,1,0,0,3.514,"?",0,NA,4.26,"?",0,2.581,"3.351"
"1018","date","laugh",12,1,33,1,75,1.878,26,0.722222222222222,0,0,1,0.824,"",NA,NA,NA,"laugh",1,14.898,"16.338"
"1018","biology","temper",2,0,13,1,12,2.204,16,0.444444444444444,1,0,0,1.095,"?",0,NA,9.781,"?",0,2.111,"3.022"
"1018","replace","roach",11,1,10,1,74,2.15,36,1,1,0,0,0.981,"roach",1,NA,2.725,"roach",1,2.007,"3.28"
"1018","calf","annoy",2,0,35,1,71,1.512,11,0.305555555555556,0,0,1,0.987,"",NA,NA,NA,"?",0,17.177,"18.18"
"1018","capital","figure",3,0,31,1,25,1.961,29,0.805555555555556,1,0,0,1.661,"figure",1,NA,5.919,"feud",0,1.86,"3.611"
"1018","nerve","bumper",11,1,18,1,26,1.471,9,0.25,1,0,0,0.957,"?",0,NA,5.228,"?",0,2.351,"3.267"
"1018","bleach","ruin",10,1,15,1,67,2.887,2,0.0555555555555556,0,0,1,3.886,"",NA,NA,NA,"ruin",1,4.077,"5.17"
"1018","mill","feast",12,1,29,1,68,1.804,27,0.75,0,0,1,1.046,"",NA,NA,NA,"feast",1,2.864,"4.879"
"1018","process","joker",10,1,1,1,73,1.863,7,0.194444444444444,0,0,1,0.996,"",NA,NA,NA,"?",0,2.72,"3.8"
"1018","climax","saucer",11,1,11,1,15,1.994,34,0.944444444444444,1,0,0,1.505,"?",0,NA,10.667,"?",0,12.048,"12.834"
"1018","glue","force",11,1,7,1,74,1.639,5,0.138888888888889,0,0,1,2.859,"",NA,NA,NA,"?",0,13.729,"14.645"
"1018","pork","emperor",10,1,27,1,79,1.453,19,0.527777777777778,0,0,1,1.226,"",NA,NA,NA,"emperor",1,1.851,"5.29"
"1018","link","crisis",12,1,19,1,75,2.713,12,0.333333333333333,0,0,1,0.896,"",NA,NA,NA,"?",0,2.6,"3.486"
"1018","rock","milk",10,1,24,1,71,2.086,25,0.694444444444444,0,0,1,0.85,"",NA,NA,NA,"milk",1,1.929,"3.038"
"1018","copy","bedroom",3,0,5,1,1,3.808,1,0.0277777777777778,0,0,1,-99,"",NA,NA,NA,"?",0,1.778,"2.642"
"1018","smother","surgery",3,0,14,1,20,2.03,20,0.555555555555556,1,0,0,1.323,"surgery",1,NA,2.977,"surgery",1,2.672,"4.548"
"1018","need","faucet",11,1,22,1,75,1.711,17,0.472222222222222,0,0,1,1.001,"",NA,NA,NA,"faucet",1,1.949,"3.816"
"1018","chicken","beet",1,0,25,1,65,1.664,13,0.361111111111111,0,0,1,1.281,"",NA,NA,NA,"?",0,1.747,"2.733"
"1018","bias","sirloin",1,0,4,1,11,2.288,15,0.416666666666667,1,0,0,0.989,"?",0,NA,12.58,"?",0,1.984,"2.953"
"1018","bacon","feud",3,0,21,1,24,1.489,33,0.916666666666667,1,0,0,0.89,"feud",1,NA,3.079,"feud",1,1.603,"14.42"
"1018","fee","chowder",3,0,34,1,25,1.736,35,0.972222222222222,1,0,0,0.815,"?",0,NA,11.403,"?",0,2.393,"3.178"
"1018","bullet","walkway",11,1,8,1,63,2.661,6,0.166666666666667,0,0,1,1.021,"",NA,NA,NA,"walkaway",0,2.846,"4.648"
"1018","remind","foam",2,0,23,1,1,2.987,4,0.111111111111111,1,0,0,7.37,"?",0,NA,4.867,"foam",1,4.237,"5.486"
"1018","shrink","mafia",10,1,16,1,74,1.573,30,0.833333333333333,0,0,1,1.105,"",NA,NA,NA,"mafia",1,3.15,"5.119"
"1018","visit","glove",2,0,3,1,24,2.012,24,0.666666666666667,1,0,0,1.225,"glove",1,NA,4.967,"?",0,1.697,"2.505"
"1018","prison","loaf",3,0,30,1,65,1.499,28,0.777777777777778,0,0,1,1.54,"",NA,NA,NA,"loaf",1,1.556,"3.859"
"1155","fan","feature",1,0,8,1,77,6.571,10,0.277777777777778,1,1,1,0.951,"feather",0,NA,18.215,"force",0,14.694,"18.234"
"1155","remind","foam",2,0,35,1,68,1.955,29,0.805555555555556,0,1,0,0.654,"",NA,NA,NA,"pork",0,8.154,"10.702"
"1155","glue","force",11,1,20,1,88,2.574,26,0.722222222222222,0,1,0,1.326,"",NA,NA,NA,"annoy",0,20.267,"23.183"
"1155","biology","temper",2,0,1,1,32,8.009,3,0.0833333333333333,0,1,0,6.367,"",NA,NA,NA,"laugh",0,30.843,"33.559"
"1155","calf","annoy",2,0,9,1,70,2.459,28,0.777777777777778,0,1,0,0.622,"",NA,NA,NA,"annoy",1,7.778,"10.295"
"1155","bullet","walkway",11,1,18,1,83,2.282,7,0.194444444444444,1,1,1,0.702,"sidewalk",0,NA,12.548,"sidewalk",0,9.362,"13.815"
"1155","anger","decay",1,0,32,1,96,2.339,19,0.527777777777778,1,1,1,0.727,"decay",1,NA,11.412,"decay",1,13.65,"17.288"
"1155","fee","chowder",3,0,29,1,62,1.586,16,0.444444444444444,0,1,0,1.215,"",NA,NA,NA,"chowder",1,7.433,"12.757"
"1155","pea","bathtub",12,1,33,1,68,1.973,5,0.138888888888889,1,1,1,10.019,"annoy",0,NA,10.638,"bath",0,22.009,"24.174"
"1155","prison","loaf",3,0,23,1,91,1.745,18,0.5,1,1,1,0.845,"loaf",1,NA,6.871,"loaf",1,6.057,"8.67"
"1155","bias","sirloin",1,0,21,1,70,3.403,35,0.972222222222222,0,1,0,0.791,"",NA,NA,NA,"sirloin",1,7.267,"11.751"
"1155","visit","glove",2,0,19,1,60,2.033,11,0.305555555555556,1,1,1,1.086,"grip",0,NA,14.751,"force",0,21.691,"25.598"
"1155","copy","bedroom",3,0,26,1,71,2.042,25,0.694444444444444,0,1,0,0.655,"",NA,NA,NA,"bathroom",0,8.154,"12.967"
"1155","rock","milk",10,1,10,1,74,5.659,13,0.361111111111111,1,1,1,1.278,"milk",1,NA,9.563,"milk",1,6.89,"11.223"
"1155","bleach","ruin",10,1,24,1,83,2.842,21,0.583333333333333,1,1,1,1.55,"ruin",1,NA,11.807,"worm",0,9.203,"11.463"
"1155","port","cinema",2,0,27,1,59,2.115,30,0.833333333333333,0,1,0,1.687,"",NA,NA,NA,"foam",0,19.45,"22.135"
"1155","process","joker",10,1,11,1,27,1.928,24,0.666666666666667,0,1,0,1.014,"",NA,NA,NA,"jar",0,5.475,"7.407"
"1155","bacon","feud",3,0,22,1,33,5.042,4,0.111111111111111,1,1,1,6.871,"feud",1,NA,10.73,"feud",1,17.931,"20.263"
"1155","want","ascent",10,1,3,1,66,2.994,2,0.0555555555555556,1,1,1,3.702,"ascent",1,NA,11.286,"laugh",0,9.658,"13.679"
"1155","chicken","beet",1,0,15,1,96,3.778,12,0.333333333333333,1,1,1,0.983,"beet",1,NA,11.215,"beet",1,16.01,"17.847"
"1155","pork","emperor",10,1,17,1,76,3.091,23,0.638888888888889,0,1,0,2.23,"",NA,NA,NA,"annoy",0,33.915,"37.567"
