word1,word2,points,value,jol,jolrt,jolrtfirst,trial,list,praccond,choice,hondis,response,rt,rtfirst,
nerve,bumper,11,1,69,5.756,4.597,1,1,0,0,1,-,-99,-99,
smother,surgery,3,0,73,5.281,4.106,2,1,0,0,1,-,-99,-99,
plant,worm,1,0,68,2.084,1.101,3,1,0,0,1,-,-99,-99,
rock,milk,10,1,82,2.59,1.598,4,1,1,1,1,plant,9.209,6.253,
bacon,feud,3,0,32,2.734,1.287,5,1,1,1,1,blump,7.008,4.427,
need,faucet,11,1,65,4.221,2.934,6,1,0,0,1,-,-99,-99,
remind,foam,2,0,68,2.428,1.391,7,1,0,0,1,-,-99,-99,
pork,emperor,10,1,39,2.653,1.37,8,1,0,0,1,-,-99,-99,
bleach,ruin,10,1,37,4.285,2.054,9,1,0,0,1,-,-99,-99,
chicken,beet,1,0,62,2.396,1.477,10,1,0,0,1,-,-99,-99,
glue,force,11,1,77,3.932,1.406,11,1,1,1,1,beet,9.483,7.531,
date,laugh,12,1,72,2.844,1.829,12,1,1,1,1,month,6.455,4.744,
want,ascent,10,1,76,3.084,1.895,13,1,1,1,1,No,13.836,10.608,
mill,feast,12,1,77,2.285,1.255,14,1,0,0,1,-,-99,-99,
biology,temper,2,0,76,3.021,1.822,15,1,1,1,1,man,10.329,6.329,
pea,bathtub,12,1,32,6.836,1.47,16,1,0,0,1,-,-99,-99,
port,cinema,2,0,72,2.539,1.332,17,1,1,1,1,like,5.835,3.503,
process,joker,10,1,71,2.301,1.246,18,1,1,1,1,level,10.591,8.259,
bullet,walkway,11,1,69,2.429,1.27,19,1,0,0,1,-,-99,-99,
caring,skirt,1,0,75,2.468,1.324,20,1,1,1,1,future,19.278,8.787,
replace,roach,11,1,37,2.74,1.191,21,1,1,1,1,worth,5.296,3.451,
calf,annoy,2,0,76,2.652,1.236,22,1,1,1,1,half,5.683,3.797,
find,clown,2,0,68,3.118,2.297,23,1,0,0,1,-,-99,-99,
knock,otter,12,1,67,2.453,1.254,24,1,0,0,1,-,-99,-99,
prison,loaf,3,0,82,2.397,1.332,25,1,1,1,1,inprison,6.683,3.32,
copy,bedroom,3,0,74,2.432,1.299,26,1,1,1,1,cut,5.527,3.547,
visit,glove,2,0,84,3.129,2.245,27,1,1,1,1,shaw,5.063,2.843,
fan,feature,1,0,36,4.085,1.92,28,1,0,0,1,-,-99,-99,
shrink,mafia,10,1,72,3.309,1.894,29,1,1,1,1,link,5.393,2.937,
capital,figure,3,0,70,10.461,9.005,30,1,1,1,1,city,4.108,2.415,
link,crisis,12,1,76,2.676,1.685,31,1,1,1,1,shrilink,8.967,2.459,
bias,sirloin,1,0,72,3.005,2.014,32,1,1,1,1,basis,7.719,5.601,
anger,decay,1,0,73,2.384,1.349,33,1,0,0,1,-,-99,-99,
climax,saucer,11,1,66,3.077,1.614,34,1,0,0,1,-,-99,-99,
grip,beach,12,1,71,2.126,1.144,35,1,0,0,1,-,-99,-99,
fee,chowder,3,0,65,2.404,1.157,36,1,0,0,1,-,-99,-99,

