word1,word2,points,value,trial,list,jol,jolrt,jolrtfirst,choice,choicert,
chicken,beet,1,0,1,1,81,4.756,2.971,-99,-99,
visit,glove,2,0,2,1,75,8.757,7.418,-99,-99,
copy,bedroom,3,0,3,1,38,2.535,1.285,-99,-99,
caring,skirt,1,0,4,1,81,2.664,1.705,-99,-99,
remind,foam,2,0,5,1,8,2.428,1.487,-99,-99,
bias,sirloin,1,0,6,1,83,2.356,1.49,-99,-99,
pork,emperor,10,1,7,1,75,2.384,1.343,-99,-99,
plant,worm,1,0,8,1,87,2.203,1.341,-99,-99,
climax,saucer,11,1,9,1,61,1.991,1.181,-99,-99,
replace,roach,11,1,10,1,12,1.836,0.998,-99,-99,
bullet,walkway,11,1,11,1,31,2.405,1.108,-99,-99,
shrink,mafia,10,1,12,1,20,2.535,1.291,-99,-99,
link,crisis,12,1,13,1,71,2.723,1.345,-99,-99,
anger,decay,1,0,14,1,85,2.467,1.663,-99,-99,
process,joker,10,1,15,1,85,2.031,1.223,-99,-99,
rock,milk,10,1,16,1,89,2.016,1.167,-99,-99,
glue,force,11,1,17,1,82,1.819,1.072,-99,-99,
fan,feature,1,0,18,1,76,2.045,1.183,-99,-99,
smother,surgery,3,0,19,1,75,1.92,1.047,-99,-99,
want,ascent,10,1,20,1,67,1.685,0.873,-99,-99,
calf,annoy,2,0,21,1,64,2.708,1.35,-99,-99,
mill,feast,12,1,22,1,81,3.108,1.431,-99,-99,
bacon,feud,3,0,23,1,88,3.37,1.553,-99,-99,
date,laugh,12,1,24,1,75,3.159,1.568,-99,-99,
biology,temper,2,0,25,1,73,25.761,24.308,-99,-99,
prison,loaf,3,0,26,1,79,4.314,1.465,-99,-99,
need,faucet,11,1,27,1,81,3.363,1.605,-99,-99,
capital,figure,3,0,28,1,74,3.717,2.128,-99,-99,
knock,otter,12,1,29,1,81,1.868,1.053,-99,-99,
bleach,ruin,10,1,30,1,17,2.097,0.917,-99,-99,
pea,bathtub,12,1,31,1,26,3.046,1.607,-99,-99,
grip,beach,12,1,32,1,30,3.486,1.383,-99,-99,
port,cinema,2,0,33,1,57,2.784,1.773,-99,-99,
fee,chowder,3,0,34,1,77,2.836,1.297,-99,-99,
find,clown,2,0,35,1,29,2.824,1.735,-99,-99,
nerve,bumper,11,1,36,1,63,2.664,1.594,-99,-99,
want,ascent,10,1,1,2,74,2.133,1.261,-99,-99,
link,crisis,12,1,2,2,22,3.801,2.233,-99,-99,
nerve,bumper,11,1,3,2,44,2.548,1.228,-99,-99,
mill,feast,12,1,4,2,72,2.152,1.203,-99,-99,
visit,glove,2,0,5,2,72,1.817,0.998,-99,-99,
climax,saucer,11,1,6,2,90,2.273,1.337,-99,-99,
biology,temper,2,0,7,2,99,2.164,1.185,-99,-99,
fee,chowder,3,0,8,2,84,1.846,1.056,-99,-99,
